name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Kiyomi McMiller,Penn State,38,1,24,6,7,1,4,0,47,47.0
Sayvia Sellers,Washington,17,1,21,3,6,1,4,1,41,41.0
Ava Heiden,Iowa,25,1,21,14,0,1,1,0,39,39.0
Imani Lester,Rutgers,24,1,17,8,3,1,3,1,37,37.0
Saylor Poffenbarger,Maryland,20,1,11,5,4,1,5,3,35,35.0
Gabriela Jaquez,UCLA,34,1,15,11,5,0,1,1,34,34.0
Hannah Stuelke,Iowa,27,1,20,9,1,1,0,1,33,33.0
Zachara Perkins,Rutgers,28,1,11,9,0,2,3,2,32,32.0
Claire Johnson,Nebraska,20,1,21,3,1,0,2,2,31,31.0
Gracie Merkle,Penn State,29,1,24,4,1,0,1,0,31,31.0
Mia Jacobs,Oregon,23,1,16,6,2,0,2,2,30,30.0
Kaylah Ivey,Rutgers,30,1,13,3,8,0,2,2,30,30.0
Madison Layden-Zay,Purdue,34,1,8,6,2,3,2,2,28,28.0
Britt Prince,Nebraska,21,1,19,5,1,0,1,1,28,28.0
Oluchi Okananwa,Maryland,17,1,18,2,3,0,0,4,27,27.0
Elisa Mevius,Oregon,22,1,15,1,2,1,3,1,27,27.0
Kiki Smith,Purdue,28,1,19,3,0,1,0,3,27,27.0
Charlisse Leger-Walker,UCLA,24,1,12,2,5,1,2,2,27,27.0
Avery Howell,Washington,19,1,18,4,0,0,0,4,26,26.0
Lauren Betts,UCLA,26,1,21,4,1,0,0,0,26,26.0
Emily Fisher,Nebraska,20,1,9,4,3,1,4,0,26,26.0
Katie Fiso,Oregon,23,1,10,0,10,0,3,0,26,26.0
Gianna Kneepkens,UCLA,32,1,9,7,3,2,1,1,26,26.0
Tara Daye,Purdue,27,1,10,7,2,0,3,0,25,25.0
Lana McCarthy,Purdue,22,1,10,7,3,1,1,0,24,24.0
Callin Hake,Nebraska,17,1,13,1,3,0,3,1,24,24.0
Emely Rodriguez,Iowa,19,1,13,3,3,0,2,1,24,24.0
Jessica Petrie,Nebraska,25,1,11,7,0,0,2,1,23,23.0
Viktoria Ranisavljevic,Penn State,27,1,8,6,3,0,2,2,23,23.0
Hila Karsh,Purdue,35,1,12,5,2,1,1,0,23,23.0
Ari Long,Oregon,17,1,3,3,2,3,4,1,23,23.0
Hannah Stines,Washington,22,1,7,4,5,0,3,0,22,22.0
Kiki Rice,UCLA,25,1,10,4,5,1,0,1,22,22.0
Angela Dugalić,UCLA,20,1,5,6,0,4,1,1,22,22.0
Sienna Harvey,Washington,16,1,15,2,1,0,1,1,21,21.0
Chazadi Wright,Iowa,28,1,9,1,7,0,2,0,21,21.0
Lauryn Swann,Rutgers,23,1,8,6,2,0,2,0,20,20.0
Kyndal Walker,Maryland,16,1,6,4,2,0,4,0,20,20.0
Amina Muhammad,Oregon,16,1,10,7,1,0,1,0,20,20.0
Nene Ndiaye,Rutgers,26,1,10,4,1,1,1,1,20,20.0
Ehis Etute,Oregon,16,1,3,8,1,1,3,0,20,20.0
Sarah Rambus,Oregon,14,1,13,4,1,0,1,0,20,20.0
Taylor Stremlow,Iowa,16,1,0,4,3,3,3,0,19,19.0
Vitoria Santana,Penn State,23,1,3,4,5,0,3,1,19,19.0
Sofia Bell,Oregon,16,1,8,1,2,0,3,2,19,19.0
Amiya Evans,Penn State,15,1,6,7,1,1,1,0,18,18.0
Lea Bartelme,Maryland,19,1,7,3,2,0,2,1,17,17.0
Olivia Anderson,Washington,12,1,5,3,1,4,0,0,17,17.0
Yarden Garzon,Maryland,24,1,3,3,6,0,2,1,17,17.0
Janae Walker,Rutgers,14,1,9,6,0,0,1,0,17,17.0
Taylor McCabe,Iowa,23,1,6,5,3,0,0,2,16,16.0
Marya Boiko,Maryland,14,1,8,5,1,1,0,0,16,16.0
Hailey Weaver,Nebraska,18,1,4,2,3,1,2,0,15,15.0
Saige Stahl,Purdue,21,1,2,9,2,0,1,0,15,15.0
Yulia Grabovskaia,Washington,13,1,4,5,4,1,0,0,15,15.0
Logan Nissley,Nebraska,19,1,8,3,2,0,0,2,15,15.0
Petra Bozan,Nebraska,16,1,11,3,0,0,0,1,15,15.0
Shayla Smith,Penn State,15,1,6,3,1,1,1,0,14,14.0
Janiyah Williams,Oregon,9,1,7,1,0,0,2,1,13,13.0
Breanna Williams,Maryland,11,1,4,4,0,0,2,1,13,13.0
Kylie Feuerbach,Iowa,18,1,4,4,3,0,1,0,13,13.0
Isimenme Ozzy-Momodu,Maryland,15,1,6,3,1,1,0,0,12,12.0
Mir McLean,Maryland,13,1,4,5,1,0,1,0,12,12.0
Amiah Hargrove,Nebraska,19,1,4,5,3,0,0,0,12,12.0
Journey Houston,Iowa,13,1,5,4,0,0,1,0,11,11.0
Astera Tuhina,Oregon,15,1,2,1,6,0,1,0,11,11.0
Brynn McGaughy,Washington,12,1,4,3,0,2,0,0,11,11.0
Teagan Brown,Washington,22,1,6,2,1,0,1,0,11,11.0
Chloe Briggs,Washington,23,1,6,5,0,0,0,0,11,11.0
Amanda Muse,UCLA,14,1,2,7,2,0,0,0,11,11.0
Ava McKennie,Maryland,12,1,7,2,0,0,1,0,11,11.0
Sara Barhoum,Oregon,8,1,6,0,1,0,1,2,11,11.0
Shayla Gillmer,Washington,12,1,2,3,0,1,1,0,9,9.0
Nina Cain,Washington,10,1,0,6,0,0,1,0,8,8.0
Lena Bilic,UCLA,21,1,3,2,0,1,0,1,8,8.0
Addison Deal,Iowa,16,1,4,2,2,0,0,0,8,8.0
Addi Mack,Maryland,17,1,6,2,0,0,0,0,8,8.0
Makylah Moore,Rutgers,7,1,4,4,0,0,0,0,8,8.0
Filippa Tilliander,Oregon,7,1,4,3,0,0,0,0,7,7.0
Rachael Okokoh,Penn State,7,1,5,2,0,0,0,0,7,7.0
Devin Coppinger,Washington,22,1,2,3,1,0,0,0,6,6.0
Moriah Murray,Penn State,23,1,2,2,0,0,1,0,6,6.0
Antonia Bates,Rutgers,12,1,0,5,1,0,0,0,6,6.0
Nyla McFadden,Penn State,13,1,3,2,0,0,0,1,6,6.0
Kennadi Williams,Nebraska,17,1,3,0,3,0,0,0,6,6.0
Avary Cain,Oregon,14,1,3,0,2,0,0,1,6,6.0
Shaelyn Steele,Penn State,11,1,2,1,0,0,1,0,5,5.0
Layla Hays,Iowa,15,1,4,1,0,0,0,0,5,5.0
Kendall Puryear,Purdue,14,1,4,1,0,0,0,0,5,5.0
Nya Smith,Purdue,9,1,2,2,0,0,0,0,4,4.0
Yacine N'Diaye,Rutgers,14,1,2,0,0,0,1,0,4,4.0
Deja Young,Rutgers,5,1,3,0,0,0,0,1,4,4.0
Precious Wheeler,Rutgers,8,1,2,1,0,0,0,0,3,3.0
Avery Gordon,Purdue,3,1,0,3,0,0,0,0,3,3.0
Kennedy Brandt,Rutgers,9,1,0,1,0,0,1,0,3,3.0
Rainey Welson,Maryland,16,1,0,0,0,0,1,0,2,2.0
Taylor Feldman,Purdue,5,1,0,1,0,0,0,0,1,1.0
Christina Karamouzi Siegel,UCLA,2,1,0,1,0,0,0,0,1,1.0
Megan Grant,UCLA,2,1,0,0,0,0,0,0,0,0.0
Nicole Fritea,Maryland,7,1,0,0,0,0,0,0,0,0.0
Alanna Neale,Nebraska,9,1,0,0,0,0,0,0,0,0.0
