name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Hila Karsh,Purdue,559,20,166,42,51,1,14,27,316,15.8
Eliza Maupin,Nebraska,326,17,152,79,20,16,10,6,309,18.176470588235293
Lana McCarthy,Purdue,332,20,143,92,19,12,14,0,306,15.3
Laci Steele,Wisconsin,445,21,137,66,19,7,23,20,302,14.380952380952381
Sarah Rambus,Oregon,357,22,166,67,19,8,14,0,296,13.454545454545455
Emma Shumate,Michigan State,418,20,134,43,17,14,15,41,293,14.65
Xamiya Walton,Northwestern,548,20,155,34,32,2,16,33,290,14.5
Faith Blackstone,Rutgers,341,13,143,63,15,9,19,13,290,22.307692307692307
Elle Ladine,Washington,330,13,140,65,24,7,8,19,278,21.384615384615383
Petra Bozan,Nebraska,299,20,141,76,8,9,14,5,276,13.8
Zania Socka-Nguemen,Indiana,312,12,141,104,14,3,5,0,275,22.916666666666668
Logan Nissley,Nebraska,366,18,133,39,46,3,9,32,274,15.222222222222221
Kendall Dudley,Michigan,337,19,115,78,24,6,22,1,274,14.421052631578947
Nya Smith,Purdue,377,20,131,63,29,2,14,15,270,13.5
Maya Makalusky,Indiana,482,21,147,56,7,1,9,35,265,12.619047619047619
Kyndal Walker,Maryland,423,20,116,45,50,2,24,1,264,13.2
Breauna Ware,Wisconsin,408,21,135,43,27,2,18,14,259,12.333333333333334
Kylie Feuerbach,Iowa,420,17,96,28,60,8,21,16,258,15.176470588235293
Tate Lash,Northwestern,417,20,109,49,50,6,15,6,256,12.8
Yulia Grabovskaia,Washington,278,19,95,89,32,7,11,0,252,13.263157894736842
Malia Samuels,USC,464,19,67,52,50,6,28,8,245,12.894736842105264
Jasmine Brown-Hagger,Illinois,475,20,115,41,34,2,20,10,244,12.2
Antonia Bates,Rutgers,472,19,39,97,40,11,20,4,242,12.736842105263158
Journey Houston,Iowa,280,20,88,102,22,1,13,0,240,12.0
Edessa Noyan,Indiana,412,21,94,102,10,7,8,3,239,11.380952380952381
Addison Deal,Iowa,317,20,131,26,35,4,9,16,234,11.7
Marya Boiko,Maryland,328,21,93,62,24,13,13,0,231,11.0
Bryn Martin,Ohio State,311,21,96,37,25,6,21,16,228,10.857142857142858
Isaline Alexander,Michigan State,199,13,125,53,4,11,12,0,228,17.53846153846154
Kendall Puryear,Purdue,311,20,127,62,8,7,8,0,227,11.35
Amina Muhammad,Oregon,305,22,108,62,12,3,19,0,226,10.272727272727273
Dorja Zaja,Wisconsin,264,21,82,57,17,23,7,0,216,10.285714285714286
Shay Bollin,Wisconsin,325,21,96,46,23,6,10,14,211,10.047619047619047
Hailey Weaver,Nebraska,298,20,66,48,24,10,22,9,211,10.55
Juliann Woodard,Michigan State,197,18,91,55,13,7,7,21,208,11.555555555555555
Viktoria Ranisavljevic,Penn State,311,20,97,31,31,1,15,15,206,10.3
