name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jazzy Davidson,USC,496,15,242,103,54,40,27,25,558,37.2
Shay Ciezki,Indiana,567,16,365,55,50,2,22,35,553,34.5625
Jaloni Cambridge,Ohio State,426,15,291,79,58,6,37,9,523,34.86666666666667
Grace Sullivan,Northwestern,463,14,327,104,16,14,22,0,519,37.07142857142857
Kiyomi McMiller,Penn State,483,15,287,78,63,3,27,13,501,33.4
Katie Fiso,Oregon,516,17,259,53,121,5,23,5,494,29.058823529411764
Mia Jacobs,Oregon,462,17,243,103,33,6,31,37,490,28.823529411764707
Britt Prince,Nebraska,467,15,285,57,62,5,23,24,484,32.266666666666666
Oluchi Okananwa,Maryland,415,16,276,79,34,5,34,14,481,30.0625
Lauren Betts,UCLA,397,14,228,117,44,30,12,0,473,33.785714285714285
Kennedy Blair,Michigan State,398,15,195,110,88,7,29,6,471,31.4
Kiki Rice,UCLA,443,15,229,98,66,10,21,12,467,31.133333333333333
Gracie Merkle,Penn State,381,15,283,115,21,19,4,0,465,31.0
Sayvia Sellers,Washington,394,14,260,35,45,12,24,38,450,32.142857142857146
Berry Wallace,Illinois,497,15,273,106,26,4,8,20,449,29.933333333333334
Ava Heiden,Iowa,346,15,243,114,26,16,15,0,445,29.666666666666668
Olivia Olson,Michigan,400,14,252,74,25,5,26,14,427,30.5
Grace VanSlooten,Michigan State,368,15,215,89,27,14,30,1,420,28.0
Nene Ndiaye,Rutgers,484,15,229,85,27,5,26,16,419,27.933333333333334
Lenée Beaumont,Indiana,534,16,238,76,49,0,11,31,416,26.0
Gianna Kneepkens,UCLA,410,15,215,59,50,3,21,41,413,27.533333333333335
Avery Howell,Washington,428,14,193,111,19,6,20,36,411,29.357142857142858
Kennedy Cambridge,Ohio State,385,15,127,67,58,12,63,9,411,27.4
Hannah Stuelke,Iowa,413,15,204,124,36,3,17,2,406,27.066666666666666
Saylor Poffenbarger,Maryland,392,14,161,85,46,10,30,26,398,28.428571428571427
Cearah Parchment,Illinois,385,15,167,116,18,9,33,11,396,26.4
Gabriela Jaquez,UCLA,446,15,211,93,33,1,14,28,395,26.333333333333332
Yarden Garzon,Maryland,479,16,204,67,44,2,17,42,395,24.6875
Syla Swords,Michigan,442,14,200,70,33,5,24,32,393,28.071428571428573
Kyrah Daniels,Wisconsin,434,15,201,72,35,5,20,33,391,26.066666666666666
