name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,962,30,703,169,136,9,58,43,1185,39.5
Jazzy Davidson,USC,1028,30,527,171,125,60,60,51,1114,37.13333333333333
Shay Ciezki,Indiana,1063,30,696,113,90,5,48,79,1084,36.13333333333333
Kiyomi McMiller,Penn State,961,29,627,144,130,8,53,41,1064,36.689655172413794
Olivia Olson,Michigan,900,29,568,180,77,13,52,35,990,34.13793103448276
Lauren Betts,UCLA,751,28,457,247,89,56,27,0,959,34.25
Sayvia Sellers,Washington,942,30,562,82,107,22,46,70,957,31.9
Kennedy Blair,Michigan State,858,29,402,206,157,11,70,10,937,32.310344827586206
Oluchi Okananwa,Maryland,814,30,531,165,66,7,68,24,936,31.2
Britt Prince,Nebraska,972,30,523,124,135,12,45,38,934,31.133333333333333
Ava Heiden,Iowa,735,29,510,224,46,32,36,0,916,31.586206896551722
Berry Wallace,Illinois,1056,30,566,191,54,10,19,46,915,30.5
Katie Fiso,Oregon,1023,32,484,115,203,7,44,10,914,28.5625
Grace Sullivan,Northwestern,945,28,599,172,30,23,30,0,907,32.392857142857146
Kiki Rice,UCLA,877,29,440,181,129,13,44,29,893,30.79310344827586
Avery Howell,Washington,1016,30,406,252,43,13,42,74,885,29.5
Cearah Parchment,Illinois,841,30,413,257,44,13,53,33,879,29.3
Grace VanSlooten,Michigan State,815,29,438,190,66,30,54,1,863,29.75862068965517
Kara Dunn,USC,958,30,458,155,62,11,38,66,839,27.966666666666665
Ehis Etute,Oregon,713,31,379,273,45,24,41,1,828,26.70967741935484
Kennedy Cambridge,Ohio State,861,30,272,138,103,21,120,26,821,27.366666666666667
Gracie Merkle,Penn State,695,26,500,213,35,28,6,0,816,31.384615384615383
Hannah Stuelke,Iowa,800,27,375,236,78,10,36,2,783,29.0
Mia Jacobs,Oregon,812,30,393,165,51,14,40,58,775,25.833333333333332
Yarden Garzon,Maryland,962,30,391,119,89,10,33,86,771,25.7
Caroline Lau,Northwestern,987,29,256,159,245,5,28,41,767,26.448275862068964
Syla Swords,Michigan,932,28,408,113,72,6,44,68,761,27.178571428571427
Mila Holloway,Michigan,822,29,364,112,133,7,47,38,755,26.03448275862069
Lenée Beaumont,Indiana,1079,31,421,146,95,1,21,47,753,24.29032258064516
Saylor Poffenbarger,Maryland,824,28,277,196,92,18,53,44,751,26.821428571428573
Kyrah Daniels,Wisconsin,907,30,377,148,74,9,36,59,748,24.933333333333334
Tara Daye,Purdue,858,30,371,196,73,9,37,15,747,24.9
Gabriela Jaquez,UCLA,873,29,409,161,57,4,31,41,738,25.448275862068964
Amaya Battle,Minnesota,878,29,316,216,105,9,35,10,735,25.344827586206897
Grace Grocholski,Minnesota,963,29,362,143,82,5,29,64,719,24.79310344827586
Kennedy Smith,USC,875,27,312,118,100,31,51,25,719,26.62962962962963
Chance Gray,Ohio State,951,30,439,79,80,0,24,71,717,23.9
Elsa Lemmilä,Ohio State,746,29,264,204,56,65,29,2,714,24.620689655172413
Gianna Kneepkens,UCLA,814,29,383,96,88,4,32,69,708,24.413793103448278
Mara Braun,Minnesota,959,29,338,125,72,20,40,50,705,24.310344827586206
Charlisse Leger-Walker,UCLA,805,29,262,123,163,8,48,41,701,24.17241379310345
Destiny Jackson,Illinois,937,30,293,118,156,4,48,9,680,22.666666666666668
Nene Ndiaye,Rutgers,819,26,384,137,40,6,37,32,679,26.115384615384617
Rashunda Jones,Michigan State,772,28,336,93,97,2,60,23,673,24.035714285714285
Chazadi Wright,Iowa,865,26,323,71,121,2,37,61,654,25.153846153846153
Destiny Howell,Wisconsin,841,29,402,87,34,10,20,62,645,22.24137931034483
Tori McKinney,Minnesota,697,25,339,80,67,14,50,30,644,25.76
Gift Uchenna,Wisconsin,551,30,267,206,26,43,28,2,643,21.433333333333334
Amiah Hargrove,Nebraska,696,29,379,158,20,9,19,23,636,21.93103448275862
Jessica Petrie,Nebraska,647,28,322,136,36,30,28,26,636,22.714285714285715
Tayla Thomas,Northwestern,705,29,280,210,27,34,17,7,626,21.586206896551722
Madison Layden-Zay,Purdue,868,25,256,92,83,13,43,56,599,23.96
Sophie Hart,Minnesota,665,29,315,179,32,16,18,0,594,20.482758620689655
Ronnie Porter,Wisconsin,908,30,191,126,140,4,49,26,589,19.633333333333333
Kiki Smith,Purdue,793,30,322,68,65,5,36,49,586,19.533333333333335
Angela Dugalić,UCLA,670,29,261,149,55,15,32,25,584,20.137931034482758
Imani Lester,Rutgers,607,26,280,138,34,29,28,11,577,22.192307692307693
Sofia Bell,Oregon,986,32,227,84,58,21,54,56,575,17.96875
Ari Long,Oregon,791,32,205,119,54,15,63,31,565,17.65625
Brooke Q. Daniels,Michigan,733,29,170,152,85,8,69,0,561,19.344827586206897
Moriah Murray,Penn State,922,29,273,90,61,3,27,76,560,19.310344827586206
Zachara Perkins,Rutgers,807,25,284,120,38,18,30,21,559,22.36
Taylor Stremlow,Iowa,673,29,235,78,118,11,34,36,557,19.20689655172414
Maddie Webber,Illinois,744,30,330,78,47,9,16,45,550,18.333333333333332
