name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,992,31,722,177,141,10,58,43,1219,39.32258064516129
Jazzy Davidson,USC,1028,30,527,171,125,60,60,51,1114,37.13333333333333
Shay Ciezki,Indiana,1100,31,708,119,95,5,48,79,1107,35.70967741935484
Kiyomi McMiller,Penn State,961,29,627,144,130,8,53,41,1064,36.689655172413794
Lauren Betts,UCLA,778,29,483,255,91,56,28,0,997,34.37931034482759
Olivia Olson,Michigan,900,29,568,180,77,13,52,35,990,34.13793103448276
Sayvia Sellers,Washington,981,31,572,85,115,24,48,71,987,31.838709677419356
Kennedy Blair,Michigan State,894,30,432,212,162,11,70,11,979,32.63333333333333
Oluchi Okananwa,Maryland,844,31,558,169,66,7,71,24,973,31.387096774193548
Katie Fiso,Oregon,1051,33,498,115,208,7,45,10,935,28.333333333333332
Britt Prince,Nebraska,972,30,523,124,135,12,45,38,934,31.133333333333333
Berry Wallace,Illinois,1096,31,577,192,56,11,19,47,932,30.06451612903226
Kiki Rice,UCLA,914,30,458,183,135,13,45,30,922,30.733333333333334
Ava Heiden,Iowa,735,29,510,224,46,32,36,0,916,31.586206896551722
Avery Howell,Washington,1055,31,424,256,43,13,43,75,910,29.35483870967742
Grace Sullivan,Northwestern,945,28,599,172,30,23,30,0,907,32.392857142857146
Cearah Parchment,Illinois,876,31,428,263,45,14,53,33,903,29.129032258064516
Grace VanSlooten,Michigan State,846,30,451,199,69,31,57,1,896,29.866666666666667
Ehis Etute,Oregon,745,32,399,283,45,27,42,1,866,27.0625
Kennedy Cambridge,Ohio State,886,31,286,144,104,21,121,28,846,27.29032258064516
Kara Dunn,USC,958,30,458,155,62,11,38,66,839,27.966666666666665
Gracie Merkle,Penn State,695,26,500,213,35,28,6,0,816,31.384615384615383
Mia Jacobs,Oregon,837,31,401,169,55,14,42,59,796,25.677419354838708
Yarden Garzon,Maryland,998,31,394,123,95,11,33,87,787,25.387096774193548
Hannah Stuelke,Iowa,800,27,375,236,78,10,36,2,783,29.0
Saylor Poffenbarger,Maryland,863,29,283,202,95,18,55,44,770,26.551724137931036
Lenée Beaumont,Indiana,1108,32,427,153,95,1,22,47,768,24.0
Caroline Lau,Northwestern,987,29,256,159,245,5,28,41,767,26.448275862068964
Syla Swords,Michigan,932,28,408,113,72,6,44,68,761,27.178571428571427
Mila Holloway,Michigan,822,29,364,112,133,7,47,38,755,26.03448275862069
Chance Gray,Ohio State,983,31,457,82,86,0,25,75,750,24.193548387096776
