name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Shay Ciezki,Indiana,449,13,316,48,36,2,19,31,473,36.38461538461539
Jazzy Davidson,USC,355,11,177,76,43,26,22,17,409,37.18181818181818
Grace Sullivan,Northwestern,357,11,246,86,13,10,16,0,397,36.09090909090909
Kiyomi McMiller,Penn State,357,11,210,65,55,3,26,8,396,36.0
Kiki Rice,UCLA,352,12,183,88,47,9,19,10,384,32.0
Jaloni Cambridge,Ohio State,305,11,217,61,39,3,26,5,380,34.54545454545455
Britt Prince,Nebraska,357,12,223,43,51,4,16,17,374,31.166666666666668
Mia Jacobs,Oregon,342,13,189,78,22,4,25,26,373,28.692307692307693
Katie Fiso,Oregon,371,13,190,34,102,4,15,5,369,28.384615384615383
Oluchi Okananwa,Maryland,325,13,202,70,30,5,24,8,368,28.307692307692307
Gracie Merkle,Penn State,286,11,223,93,18,15,2,0,368,33.45454545454545
Sayvia Sellers,Washington,319,11,216,31,38,9,17,29,366,33.27272727272727
Nene Ndiaye,Rutgers,395,12,195,73,20,5,22,14,356,29.666666666666668
Lauren Betts,UCLA,311,11,167,82,34,24,10,0,351,31.90909090909091
Olivia Olson,Michigan,282,11,203,58,22,3,23,13,348,31.636363636363637
Berry Wallace,Illinois,383,12,208,86,20,1,7,12,342,28.5
Ava Heiden,Iowa,275,12,175,93,21,14,12,0,341,28.416666666666668
Lenée Beaumont,Indiana,423,13,196,62,43,0,8,23,340,26.153846153846153
Gabriela Jaquez,UCLA,357,12,179,72,28,1,12,26,331,27.583333333333332
Hannah Stuelke,Iowa,322,12,161,101,30,2,16,2,330,27.5
Yarden Garzon,Maryland,375,13,164,52,41,1,17,36,329,25.307692307692307
Gianna Kneepkens,UCLA,332,12,171,47,40,3,16,31,327,27.25
Tayla Thomas,Northwestern,323,12,137,113,11,20,8,2,319,26.583333333333332
Kyrah Daniels,Wisconsin,335,12,151,61,32,4,18,27,315,26.25
Saylor Poffenbarger,Maryland,302,11,125,69,32,7,26,23,315,28.636363636363637
Kennedy Blair,Michigan State,246,10,133,68,61,5,19,4,314,31.4
Cearah Parchment,Illinois,294,12,130,95,14,5,26,10,311,25.916666666666668
Mila Holloway,Michigan,298,11,142,38,56,3,27,14,310,28.181818181818183
Charlisse Leger-Walker,UCLA,330,12,113,46,80,4,24,14,309,25.75
Gretchen Dolan,Illinois,358,12,175,44,39,5,14,13,309,25.75
Syla Swords,Michigan,318,11,155,56,26,5,18,25,308,28.0
