name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,615,20,433,107,91,7,45,20,755,37.75
Jazzy Davidson,USC,641,19,309,123,72,49,35,33,705,37.10526315789474
Shay Ciezki,Indiana,715,20,459,62,57,4,28,49,691,34.55
Kiyomi McMiller,Penn State,648,20,379,103,90,4,32,21,665,33.25
Oluchi Okananwa,Maryland,555,21,359,118,41,5,43,19,633,30.142857142857142
Grace Sullivan,Northwestern,604,18,398,124,25,16,25,0,629,34.94444444444444
Gracie Merkle,Penn State,513,20,386,156,26,24,6,0,628,31.4
Lauren Betts,UCLA,501,18,290,152,52,43,20,0,620,34.44444444444444
Kennedy Blair,Michigan State,562,20,266,139,108,9,41,7,620,31.0
Katie Fiso,Oregon,662,21,324,64,142,6,29,7,607,28.904761904761905
Sayvia Sellers,Washington,556,19,355,51,63,14,31,44,603,31.736842105263158
Kiki Rice,UCLA,572,19,289,123,85,13,31,18,603,31.736842105263158
Berry Wallace,Illinois,654,19,373,132,33,8,10,27,601,31.63157894736842
Britt Prince,Nebraska,603,19,338,68,81,7,30,28,589,31.0
Mia Jacobs,Oregon,581,21,303,117,39,8,32,46,585,27.857142857142858
Olivia Olson,Michigan,546,19,337,105,43,6,33,20,583,30.68421052631579
Grace VanSlooten,Michigan State,525,20,303,125,36,18,39,1,579,28.95
Ava Heiden,Iowa,464,19,309,146,32,20,18,0,563,29.63157894736842
Hannah Stuelke,Iowa,555,19,268,164,56,7,26,2,556,29.263157894736842
Kennedy Cambridge,Ohio State,535,20,174,86,72,15,84,13,543,27.15
Avery Howell,Washington,602,19,243,153,28,7,26,44,534,28.105263157894736
Rashunda Jones,Michigan State,571,20,259,70,75,2,53,14,528,26.4
Yarden Garzon,Maryland,641,21,270,84,64,6,19,59,527,25.095238095238095
Kara Dunn,USC,603,19,281,92,37,6,31,41,525,27.63157894736842
Kyrah Daniels,Wisconsin,594,20,263,95,47,6,30,42,519,25.95
Gianna Kneepkens,UCLA,526,19,265,69,67,3,24,52,507,26.68421052631579
Saylor Poffenbarger,Maryland,532,19,199,109,62,16,35,32,504,26.526315789473685
Gabriela Jaquez,UCLA,568,19,281,110,40,2,17,33,502,26.42105263157895
Nene Ndiaye,Rutgers,603,19,275,104,31,5,31,20,502,26.42105263157895
Grace Grocholski,Minnesota,613,19,261,99,51,4,15,48,497,26.157894736842106
Caroline Lau,Northwestern,648,19,152,103,174,4,15,24,491,25.842105263157894
Syla Swords,Michigan,562,18,251,78,47,6,29,45,491,27.27777777777778
Cearah Parchment,Illinois,489,19,214,150,23,11,34,13,490,25.789473684210527
Mila Holloway,Michigan,519,19,237,74,84,4,31,23,488,25.68421052631579
