name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Shay Ciezki,Indiana,273,8,194,36,22,2,11,20,298,37.25
Kiki Rice,UCLA,271,9,138,66,29,8,11,8,279,31.0
Nene Ndiaye,Rutgers,297,9,152,56,16,3,18,11,277,30.77777777777778
Kiyomi McMiller,Penn State,225,7,137,43,42,3,19,5,271,38.714285714285715
Grace Sullivan,Northwestern,243,7,158,68,9,8,8,0,267,38.142857142857146
Gracie Merkle,Penn State,181,7,161,62,17,10,2,0,264,37.714285714285715
Jazzy Davidson,USC,218,7,114,47,28,16,14,10,259,37.0
Gabriela Jaquez,UCLA,283,9,140,58,23,1,9,17,258,28.666666666666668
Ava Heiden,Iowa,196,8,128,79,11,9,9,0,254,31.75
Katie Fiso,Oregon,250,9,133,21,65,4,11,2,251,27.88888888888889
Kennedy Blair,Michigan State,187,8,101,54,49,3,18,4,250,31.25
Saylor Poffenbarger,Maryland,236,9,89,53,27,5,25,19,248,27.555555555555557
Grace VanSlooten,Michigan State,193,8,126,42,17,9,21,0,245,30.625
Mia Jacobs,Oregon,236,9,123,47,14,4,19,15,245,27.22222222222222
Jaloni Cambridge,Ohio State,201,7,139,40,23,1,14,4,236,33.714285714285715
Kyrah Daniels,Wisconsin,256,9,119,45,23,3,11,19,234,26.0
Gianna Kneepkens,UCLA,259,9,125,32,33,3,8,22,234,26.0
Britt Prince,Nebraska,206,7,154,26,26,1,7,10,232,33.142857142857146
Lauren Betts,UCLA,238,8,106,56,28,16,5,0,232,29.0
Charlisse Leger-Walker,UCLA,259,9,95,31,55,3,16,12,231,25.666666666666668
Imani Lester,Rutgers,227,9,101,60,13,13,13,3,229,25.444444444444443
Sayvia Sellers,Washington,191,7,124,19,28,8,13,12,225,32.142857142857146
Oluchi Okananwa,Maryland,224,9,120,43,22,4,12,7,224,24.88888888888889
Zachara Perkins,Rutgers,300,9,107,52,14,9,10,11,222,24.666666666666668
Angela Dugalić,UCLA,245,9,100,59,9,7,13,10,218,24.22222222222222
Berry Wallace,Illinois,235,7,138,47,13,1,3,9,215,30.714285714285715
Hannah Stuelke,Iowa,214,8,100,67,17,1,12,2,212,26.5
Rashunda Jones,Michigan State,205,8,94,18,40,1,27,4,212,26.5
Olivia Olson,Michigan,174,7,117,36,13,2,15,11,211,30.142857142857142
Mila Holloway,Michigan,192,7,92,26,36,3,20,8,208,29.714285714285715
Lenée Beaumont,Indiana,261,8,121,42,26,0,3,12,207,25.875
Yarden Garzon,Maryland,243,9,96,33,27,1,14,20,206,22.88888888888889
Tayla Thomas,Northwestern,196,7,72,78,8,12,5,2,194,27.714285714285715
Syla Swords,Michigan,199,7,93,42,18,1,10,16,191,27.285714285714285
Destiny Howell,Wisconsin,231,9,112,34,9,2,6,19,190,21.11111111111111
Kaylah Ivey,Rutgers,324,9,87,28,31,1,12,16,188,20.88888888888889
Kennedy Smith,USC,215,7,73,32,27,8,14,6,182,26.0
Ehis Etute,Oregon,153,9,69,67,8,6,12,0,180,20.0
Zania Socka-Nguemen,Indiana,190,7,91,63,9,3,5,0,179,25.571428571428573
Grace Grocholski,Minnesota,202,7,88,37,20,3,6,16,179,25.571428571428573
Moriah Murray,Penn State,204,7,84,23,19,2,12,23,177,25.285714285714285
Gretchen Dolan,Illinois,214,7,96,28,25,1,10,3,174,24.857142857142858
Avery Howell,Washington,195,7,80,49,11,2,8,13,173,24.714285714285715
Addi Mack,Maryland,194,8,98,23,21,1,11,6,172,21.5
Kennedy Cambridge,Ohio State,168,7,49,29,22,5,28,5,171,24.428571428571427
Cearah Parchment,Illinois,171,7,73,50,6,2,15,7,170,24.285714285714285
Sofia Bell,Oregon,236,9,64,24,12,8,19,16,170,18.88888888888889
Kara Dunn,USC,196,7,83,37,8,4,11,11,169,24.142857142857142
Jessica Petrie,Nebraska,159,7,83,34,13,8,7,8,168,24.0
Te'Yala Delfosse,Michigan,136,7,83,43,9,5,5,8,163,23.285714285714285
Gift Uchenna,Wisconsin,134,9,55,56,4,12,11,0,161,17.88888888888889
Mara Braun,Minnesota,204,7,73,26,19,5,11,11,161,23.0
Taylor McCabe,Iowa,219,8,74,36,18,2,3,23,161,20.125
Jalyn Brown,Michigan State,168,8,83,30,17,2,11,4,160,20.0
Chance Gray,Ohio State,186,7,96,22,22,0,2,14,158,22.571428571428573
Taylor Stremlow,Iowa,157,8,57,29,28,6,12,8,158,19.75
Tara Daye,Purdue,166,7,77,51,9,0,9,2,157,22.428571428571427
Theryn Hallock,Michigan State,152,7,76,11,22,2,17,10,157,22.428571428571427
Amaya Battle,Minnesota,197,7,42,58,29,2,10,3,156,22.285714285714285
Caroline Lau,Northwestern,221,7,42,36,61,0,5,7,156,22.285714285714285
Kylee Kitts,Ohio State,160,7,57,49,8,14,6,2,156,22.285714285714285
