,name,team,fantasy_points,past_points,daily_points
0,Gabriela Jaquez,UCLA,70,34.0,36.0
1,Hila Karsh,Purdue,63,23.0,40.0
2,Nene Ndiaye,Rutgers,61,20.0,41.0
3,Imani Lester,Rutgers,59,37.0,22.0
4,Kaylah Ivey,Rutgers,59,30.0,29.0
5,Gianna Kneepkens,UCLA,58,26.0,32.0
6,Kiki Rice,UCLA,56,22.0,34.0
7,Oluchi Okananwa,Maryland,56,27.0,29.0
8,Lauren Betts,UCLA,55,26.0,29.0
9,Zachara Perkins,Rutgers,53,32.0,21.0
10,Saylor Poffenbarger,Maryland,53,35.0,18.0
11,Charlisse Leger-Walker,UCLA,52,27.0,25.0
12,Mila Holloway,Michigan,48,48.0,0.0
13,Madison Layden-Zay,Purdue,47,28.0,19.0
14,Kiyomi McMiller,Penn State,47,47.0,0.0
15,Grace Sullivan,Northwestern,44,44.0,0.0
16,Kiki Smith,Purdue,44,27.0,17.0
17,Berry Wallace,Illinois,43,43.0,0.0
18,Tara Daye,Purdue,42,25.0,17.0
19,Sayvia Sellers,Washington,41,41.0,0.0
20,Yarden Garzon,Maryland,40,17.0,23.0
21,Angela Dugalić,UCLA,39,22.0,17.0
22,Kennedy Blair,Michigan State,39,39.0,0.0
23,Ava Heiden,Iowa,39,39.0,0.0
24,Kyndal Walker,Maryland,37,20.0,17.0
25,Tayla Thomas,Northwestern,37,37.0,0.0
26,Grace VanSlooten,Michigan State,36,36.0,0.0
27,Marya Boiko,Maryland,35,16.0,19.0
28,Lana McCarthy,Purdue,35,24.0,11.0
29,Shay Ciezki,Indiana,34,34.0,0.0
30,Lea Bartelme,Maryland,34,17.0,17.0
31,Theryn Hallock,Michigan State,34,34.0,0.0
32,Zania Socka-Nguemen,Indiana,34,28.0,6.0
33,Makena Christian,Minnesota,33,33.0,0.0
34,Destiny Howell,Wisconsin,33,33.0,0.0
35,Hannah Stuelke,Iowa,33,33.0,0.0
36,Isimenme Ozzy-Momodu,Maryland,32,12.0,20.0
37,Olivia Olson,Michigan,32,32.0,0.0
38,Xamiya Walton,Northwestern,31,31.0,0.0
39,Gracie Merkle,Penn State,31,31.0,0.0
40,Claire Johnson,Nebraska,31,31.0,0.0
41,Brooke Q. Daniels,Michigan,30,30.0,0.0
42,Janae Walker,Rutgers,30,17.0,13.0
43,Mia Jacobs,Oregon,30,30.0,0.0
44,Gretchen Dolan,Illinois,30,30.0,0.0
45,Te'Yala Delfosse,Michigan,29,29.0,0.0
46,Britt Prince,Nebraska,28,28.0,0.0
47,Kara Dunn,USC,27,27.0,0.0
48,Jazzy Davidson,USC,27,27.0,0.0
49,Elisa Mevius,Oregon,27,27.0,0.0
50,Rashunda Jones,Michigan State,27,27.0,0.0
51,Londynn Jones,USC,26,26.0,0.0
52,Jalyn Brown,Michigan State,26,26.0,0.0
53,Kyrah Daniels,Wisconsin,26,26.0,0.0
54,Avery Howell,Washington,26,26.0,0.0
55,Katie Fiso,Oregon,26,26.0,0.0
56,Dorja Iva Zaja,Wisconsin,26,26.0,0.0
57,Emily Fisher,Nebraska,26,26.0,0.0
58,Emma Shumate,Michigan State,26,26.0,0.0
59,Sophie Hart,Minnesota,25,25.0,0.0
60,Amy Terrian,Michigan State,25,25.0,0.0
61,Callin Hake,Nebraska,24,24.0,0.0
62,Emely Rodriguez,Iowa,24,24.0,0.0
63,Kennedy Smith,USC,24,24.0,0.0
64,Ari Long,Oregon,23,23.0,0.0
65,Viktoria Ranisavljevic,Penn State,23,23.0,0.0
66,Jessica Petrie,Nebraska,23,23.0,0.0
67,Isaline Alexander,Michigan State,22,22.0,0.0
68,Casey Harter,Northwestern,22,22.0,0.0
69,Ashley Sofilkanich,Michigan,22,22.0,0.0
70,Finau Tonga,Minnesota,22,22.0,0.0
71,Hannah Stines,Washington,22,22.0,0.0
72,Avery Gordon,Purdue,21,3.0,18.0
73,Maddie Webber,Illinois,21,21.0,0.0
74,Sienna Harvey,Washington,21,21.0,0.0
75,Chazadi Wright,Iowa,21,21.0,0.0
76,Kendall Puryear,Purdue,21,5.0,16.0
77,Tori McKinney,Minnesota,21,21.0,0.0
78,Lauryn Swann,Rutgers,20,20.0,0.0
79,Nevaeh Caffey,Indiana,20,20.0,0.0
80,Dayana Mendes,USC,20,20.0,0.0
81,Sarah Rambus,Oregon,20,20.0,0.0
82,Amina Muhammad,Oregon,20,20.0,0.0
83,Lenée Beaumont,Indiana,20,22.0,-2.0
84,Ehis Etute,Oregon,20,20.0,0.0
85,Destiny Jackson,Illinois,20,20.0,0.0
86,Taylor Stremlow,Iowa,19,19.0,0.0
87,Laci Steele,Wisconsin,19,19.0,0.0
88,Amaya Battle,Minnesota,19,19.0,0.0
89,Sofia Bell,Oregon,19,19.0,0.0
90,Vitoria Santana,Penn State,19,19.0,0.0
91,Syla Swords,Michigan,18,18.0,0.0
92,Addi Mack,Maryland,18,8.0,10.0
93,Shay Bollin,Wisconsin,18,18.0,0.0
94,Amiya Evans,Penn State,18,18.0,0.0
95,Mara Braun,Minnesota,17,17.0,0.0
96,Breanna Williams,Maryland,17,13.0,4.0
97,Olivia Anderson,Washington,17,17.0,0.0
98,Gift Uchenna,Wisconsin,17,17.0,0.0
99,Taylor McCabe,Iowa,16,16.0,0.0
100,Antonia Bates,Rutgers,16,6.0,10.0
101,Malia Samuels,USC,16,16.0,0.0
102,Yulia Grabovskaia,Washington,15,15.0,0.0
103,Petra Bozan,Nebraska,15,15.0,0.0
104,Mir McLean,Maryland,15,12.0,3.0
105,Logan Nissley,Nebraska,15,15.0,0.0
106,Saige Stahl,Purdue,15,15.0,0.0
