,name,team,fantasy_points,past_points,daily_points
107,Taylor Feldman,Purdue,15,1.0,14.0
108,Gerda Raulusaityte,USC,15,15.0,0.0
109,Edessa Noyan,Indiana,15,15.0,0.0
110,Hailey Weaver,Nebraska,15,15.0,0.0
111,Grace Grocholski,Minnesota,15,15.0,0.0
112,Rainey Welson,Maryland,14,2.0,12.0
113,Jasmine Brown-Hagger,Illinois,14,14.0,0.0
114,Shayla Smith,Penn State,14,14.0,0.0
115,Ava McKennie,Maryland,14,11.0,3.0
116,Amanda Muse,UCLA,14,11.0,3.0
117,Abbey Kimball,Michigan State,14,14.0,0.0
118,Janiyah Williams,Oregon,13,13.0,0.0
119,Kennedy Klick,Minnesota,13,13.0,0.0
120,Kylie Feuerbach,Iowa,13,13.0,0.0
121,Cearah Parchment,Illinois,13,13.0,0.0
122,Tate Lash,Northwestern,13,13.0,0.0
123,Brylee Glenn,Minnesota,13,13.0,0.0
124,Lety Vasconcelos,Illinois,13,13.0,0.0
125,Lena Bilic,UCLA,13,8.0,5.0
126,Marah Dykstra,Michigan State,12,12.0,0.0
127,Amiah Hargrove,Nebraska,12,12.0,0.0
128,Nya Smith,Purdue,12,4.0,8.0
129,Valentyna Kadlecova,Indiana,11,11.0,0.0
130,Sara Barhoum,Oregon,11,11.0,0.0
131,Chloe Briggs,Washington,11,11.0,0.0
132,Ronnie Porter,Wisconsin,11,11.0,0.0
133,Brynn McGaughy,Washington,11,11.0,0.0
134,Teagan Brown,Washington,11,11.0,0.0
135,Lily Krahn,Wisconsin,11,11.0,0.0
136,Journey Houston,Iowa,11,11.0,0.0
137,Vivian Iwuchukwu,USC,11,11.0,0.0
138,Astera Tuhina,Oregon,11,11.0,0.0
139,Niamya Holloway,Minnesota,10,10.0,0.0
140,Caroline Lau,Northwestern,10,10.0,0.0
141,Shayla Gillmer,Washington,9,9.0,0.0
142,Laura Williams,USC,9,9.0,0.0
143,Jessica Fields,Michigan,8,8.0,0.0
144,Alyssa Crockett,Michigan,8,8.0,0.0
145,Yacine N'Diaye,Rutgers,8,4.0,4.0
146,Addison Deal,Iowa,8,8.0,0.0
147,Nina Cain,Washington,8,8.0,0.0
148,McKenzie Mathurin,Michigan,8,8.0,0.0
149,Phoenix Stotijn,Indiana,8,0.0,8.0
150,Irene Noya Catoira,Illinois,8,8.0,0.0
151,Yakiya Milton,USC,8,8.0,0.0
152,Ally VanTimmeren,Michigan,8,8.0,0.0
153,Makylah Moore,Rutgers,8,8.0,0.0
154,Rachael Okokoh,Penn State,7,7.0,0.0
155,Filippa Tilliander,Oregon,7,7.0,0.0
156,Kennadi Williams,Nebraska,6,6.0,0.0
157,Anna Terrian,Michigan State,6,6.0,0.0
158,Devin Coppinger,Washington,6,6.0,0.0
159,Ciara Byars,Michigan,6,6.0,0.0
160,Avary Cain,Oregon,6,6.0,0.0
161,Nikki Kerstein,Wisconsin,6,6.0,0.0
162,Taylor Woodson,Minnesota,6,6.0,0.0
163,Moriah Murray,Penn State,6,6.0,0.0
164,Nyla McFadden,Penn State,6,6.0,0.0
165,Rian Forestier,USC,5,5.0,0.0
166,Jerni Kiaku,Indiana,5,5.0,0.0
167,Layla Hays,Iowa,5,5.0,0.0
168,Jovana Spasovski,Wisconsin,5,5.0,0.0
169,Shaelyn Steele,Penn State,5,5.0,0.0
170,Hayven Smith,Illinois,5,5.0,0.0
171,Faith Wiseman,Indiana,4,4.0,0.0
172,Deja Young,Rutgers,4,4.0,0.0
173,Maya Makalusky,Indiana,4,4.0,0.0
174,Chloe Spreen,Indiana,3,3.0,0.0
175,Angelina Hodgens,Northwestern,3,3.0,0.0
176,Kennedy Brandt,Rutgers,3,3.0,0.0
177,Breauna Ware,Wisconsin,3,3.0,0.0
178,Tracey Bershers,Minnesota,3,3.0,0.0
179,Brooklyn Shamblin,USC,3,3.0,0.0
180,Claire Keswick,Northwestern,3,3.0,0.0
181,Precious Wheeler,Rutgers,3,3.0,0.0
182,Megan Grant,UCLA,2,0.0,2.0
183,Christina Karamouzi Siegel,UCLA,2,1.0,1.0
184,Macy Brown,Michigan,2,2.0,0.0
185,McKenna Layden,Purdue,2,0.0,2.0
186,Gisela Segura,Illinois,1,1.0,0.0
187,Alba Martín Mesa,Wisconsin,1,1.0,0.0
188,Brynn Senden,Minnesota,0,0.0,0.0
189,Nicole Fritea,Maryland,0,0.0,0.0
190,DaiJa Turner,Northwestern,0,0.0,0.0
191,Alanna Neale,Nebraska,0,0.0,0.0
