name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Saylor Poffenbarger,Maryland,236,9,89,53,27,5,25,19,248,27.555555555555557
Kiki Rice,UCLA,241,8,118,55,27,8,9,7,241,30.125
Kiyomi McMiller,Penn State,199,6,118,40,36,2,18,5,239,39.833333333333336
Gracie Merkle,Penn State,158,6,143,54,15,9,1,0,232,38.666666666666664
Britt Prince,Nebraska,206,7,154,26,26,1,7,10,232,33.142857142857146
Oluchi Okananwa,Maryland,224,9,120,43,22,4,12,7,224,24.88888888888889
Jazzy Davidson,USC,187,6,96,43,23,13,12,7,219,36.5
Shay Ciezki,Indiana,200,6,132,31,17,2,9,16,218,36.333333333333336
Mia Jacobs,Oregon,200,8,113,38,13,2,17,15,217,27.125
Grace Sullivan,Northwestern,207,6,127,55,9,7,6,0,217,36.166666666666664
Katie Fiso,Oregon,215,8,109,17,63,3,11,0,217,27.125
Gabriela Jaquez,UCLA,251,8,111,55,20,1,7,12,214,26.75
Lauren Betts,UCLA,208,7,99,52,25,14,4,0,212,30.285714285714285
Olivia Olson,Michigan,174,7,117,36,13,2,15,11,211,30.142857142857142
Nene Ndiaye,Rutgers,234,7,121,41,12,3,11,7,209,29.857142857142858
Mila Holloway,Michigan,192,7,92,26,36,3,20,8,208,29.714285714285715
Jaloni Cambridge,Ohio State,186,6,125,35,17,1,12,4,207,34.5
Gianna Kneepkens,UCLA,228,8,106,32,30,3,7,18,206,25.75
Yarden Garzon,Maryland,243,9,96,33,27,1,14,20,206,22.88888888888889
Ava Heiden,Iowa,163,7,110,63,7,5,7,0,204,29.142857142857142
Charlisse Leger-Walker,UCLA,230,8,88,29,44,3,12,12,203,25.375
Berry Wallace,Illinois,209,6,121,43,12,1,3,9,193,32.166666666666664
Grace VanSlooten,Michigan State,135,6,100,30,14,5,19,0,192,32.0
Syla Swords,Michigan,199,7,93,42,18,1,10,16,191,27.285714285714285
Sayvia Sellers,Washington,152,6,107,14,24,7,11,9,190,31.666666666666668
Kyrah Daniels,Wisconsin,202,7,91,40,23,2,8,15,189,27.0
Kennedy Blair,Michigan State,127,6,75,38,38,2,16,1,188,31.333333333333332
Angela Dugalić,UCLA,216,8,86,53,7,6,10,10,188,23.5
Hannah Stuelke,Iowa,194,7,87,59,14,1,11,2,186,26.571428571428573
Grace Grocholski,Minnesota,202,7,88,37,20,3,6,16,179,25.571428571428573
Tayla Thomas,Northwestern,172,6,68,71,6,11,4,2,177,29.5
Zachara Perkins,Rutgers,229,7,86,42,7,7,9,9,176,25.142857142857142
Addi Mack,Maryland,194,8,98,23,21,1,11,6,172,21.5
Imani Lester,Rutgers,182,7,73,46,11,10,9,3,171,24.428571428571427
Jessica Petrie,Nebraska,159,7,83,34,13,8,7,8,168,24.0
Te'Yala Delfosse,Michigan,136,7,83,43,9,5,5,8,163,23.285714285714285
Mara Braun,Minnesota,204,7,73,26,19,5,11,11,161,23.0
Lenée Beaumont,Indiana,190,6,91,32,18,0,3,12,159,26.5
Sofia Bell,Oregon,198,8,62,21,10,8,17,16,159,19.875
Zania Socka-Nguemen,Indiana,159,6,81,55,6,3,5,0,158,26.333333333333332
Kaylah Ivey,Rutgers,260,7,75,22,23,1,10,14,156,22.285714285714285
Rashunda Jones,Michigan State,142,6,60,14,32,1,23,2,156,26.0
Amaya Battle,Minnesota,197,7,42,58,29,2,10,3,156,22.285714285714285
Kennedy Smith,USC,184,6,64,29,20,7,11,5,154,25.666666666666668
Destiny Howell,Wisconsin,172,7,89,27,8,2,6,14,154,22.0
Gretchen Dolan,Illinois,194,6,85,22,22,1,9,2,151,25.166666666666668
Callin Hake,Nebraska,179,7,62,18,31,1,12,11,148,21.142857142857142
Isimenme Ozzy-Momodu,Maryland,132,9,73,39,5,11,4,0,147,16.333333333333332
Amiah Hargrove,Nebraska,161,7,73,48,8,1,7,1,146,20.857142857142858
Avery Howell,Washington,157,6,65,41,10,1,8,9,143,23.833333333333332
Kennedy Cambridge,Ohio State,154,6,40,27,19,3,23,5,143,23.833333333333332
Chance Gray,Ohio State,172,6,90,17,18,0,1,14,141,23.5
Moriah Murray,Penn State,175,6,66,19,17,2,8,19,141,23.5
Taylor McCabe,Iowa,183,7,61,34,16,2,3,19,140,20.0
Ehis Etute,Oregon,127,8,53,52,7,4,10,0,140,17.5
Gift Uchenna,Wisconsin,106,7,51,46,4,9,10,0,139,19.857142857142858
Theryn Hallock,Michigan State,129,6,67,8,19,1,17,7,137,22.833333333333332
Madison Layden-Zay,Purdue,193,6,61,26,15,4,6,15,137,22.833333333333332
Kara Dunn,USC,167,6,64,34,7,2,9,8,135,22.5
Brooke Q. Daniels,Michigan,145,7,38,33,30,2,15,0,135,19.285714285714285
Jalyn Brown,Michigan State,128,6,67,25,13,2,11,3,134,22.333333333333332
Brylee Glenn,Minnesota,176,7,71,21,19,1,9,3,134,19.142857142857142
Sophie Hart,Minnesota,160,7,74,42,4,3,4,0,134,19.142857142857142
Caroline Lau,Northwestern,187,6,34,30,53,0,5,5,132,22.0
Ari Long,Oregon,161,8,43,26,14,6,15,6,131,16.375
Kaylene Smikle,Maryland,104,6,82,23,11,1,4,5,131,21.833333333333332
Casey Harter,Northwestern,207,6,65,24,10,8,4,8,131,21.833333333333332
Kylee Kitts,Ohio State,148,6,48,44,4,10,6,2,130,21.666666666666668
Taylor Stremlow,Iowa,125,7,48,22,21,4,12,7,130,18.571428571428573
Tara Daye,Purdue,138,6,63,43,9,0,6,2,129,21.5
Amina Muhammad,Oregon,138,8,57,34,8,3,11,0,127,15.875
Kiki Smith,Purdue,153,6,65,16,11,3,8,11,125,20.833333333333332
Cearah Parchment,Illinois,147,6,56,43,6,1,5,7,124,20.666666666666668
Hannah Stines,Washington,151,6,46,34,17,4,9,1,124,20.666666666666668
Ronnie Porter,Wisconsin,173,7,43,23,30,0,11,3,121,17.285714285714285
Chazadi Wright,Iowa,129,5,63,8,24,0,7,12,121,24.2
Londynn Jones,USC,133,6,71,12,13,1,4,12,118,19.666666666666668
Sarah Rambus,Oregon,131,8,66,29,8,2,5,0,117,14.625
Tori McKinney,Minnesota,106,5,66,11,7,2,12,5,117,23.4
Tea Cleante,Penn State,151,5,59,12,11,0,12,10,116,23.2
Lana McCarthy,Purdue,114,6,53,35,11,4,3,0,113,18.833333333333332
Astera Tuhina,Oregon,143,8,45,13,24,2,11,4,112,14.0
Destiny Jackson,Illinois,174,6,47,20,23,1,8,4,112,18.666666666666668
Ashley Sofilkanich,Michigan,106,7,56,22,4,6,8,0,110,15.714285714285714
Laci Steele,Wisconsin,142,7,49,24,5,1,12,5,109,15.571428571428571
Hila Karsh,Purdue,193,6,60,22,12,1,2,9,109,18.166666666666668
Layla Hays,Iowa,106,7,61,30,7,3,2,0,108,15.428571428571429
Hailey Weaver,Nebraska,135,7,34,23,9,7,9,5,103,14.714285714285714
Isaline Alexander,Michigan State,87,6,54,20,1,6,7,0,101,16.833333333333332
Makena Christian,Minnesota,106,7,57,10,6,0,7,13,100,14.285714285714286
Petra Bozan,Nebraska,112,7,52,27,3,1,6,4,100,14.285714285714286
Tate Lash,Northwestern,140,6,50,22,17,1,3,2,99,16.5
Brynn McGaughy,Washington,95,6,56,19,2,9,1,1,98,16.333333333333332
Kyndal Walker,Maryland,136,8,40,17,11,1,13,1,97,12.125
Emma Shumate,Michigan State,100,6,47,16,8,2,4,14,97,16.166666666666668
Viktoria Ranisavljevic,Penn State,137,6,45,18,13,0,7,7,97,16.166666666666668
Antonia Bates,Rutgers,186,7,19,39,15,3,7,2,95,13.571428571428571
Maddie Webber,Illinois,132,6,58,12,6,2,2,10,94,15.666666666666666
Eliza Maupin,Nebraska,96,5,49,20,9,3,4,1,93,18.6
Kylie Feuerbach,Iowa,148,7,29,12,20,3,11,3,92,13.142857142857142
Nevaeh Caffey,Indiana,164,6,35,15,17,1,8,4,89,14.833333333333334
Dorja Zaja,Wisconsin,91,7,29,23,5,15,1,0,89,12.714285714285714
Lily Krahn,Wisconsin,83,7,54,6,3,1,5,14,89,12.714285714285714
Breauna Ware,Wisconsin,133,7,43,14,10,1,8,4,89,12.714285714285714
Marah Dykstra,Michigan State,120,6,37,13,10,4,7,7,89,14.833333333333334
Claire Johnson,Nebraska,111,7,52,13,9,1,3,6,88,12.571428571428571
Marya Boiko,Maryland,120,9,39,26,7,2,5,0,86,9.555555555555555
Addison Deal,Iowa,117,7,45,10,18,1,1,7,84,12.0
Bryn Martin,Ohio State,91,6,39,10,8,1,8,9,84,14.0
T'yana Todd,Ohio State,109,6,46,14,7,0,5,6,83,13.833333333333334
Taylor Feldman,Purdue,103,6,39,15,14,2,2,7,83,13.833333333333334
Janae Walker,Rutgers,135,7,36,28,6,4,2,0,82,11.714285714285714
Mir McLean,Maryland,97,8,26,29,4,1,10,0,81,10.125
Shay Bollin,Wisconsin,109,7,43,16,7,2,2,7,81,11.571428571428571
Xamiya Walton,Northwestern,143,6,45,9,10,1,3,9,81,13.5
Juliann Woodard,Michigan State,59,5,36,18,7,4,1,8,79,15.8
