name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,679,22,488,122,97,7,48,28,845,38.40909090909091
Shay Ciezki,Indiana,821,23,542,76,63,4,32,62,815,35.43478260869565
Jazzy Davidson,USC,715,21,341,131,87,50,38,37,772,36.76190476190476
Kiyomi McMiller,Penn State,693,22,417,107,95,4,35,23,720,32.72727272727273
Grace Sullivan,Northwestern,711,21,470,140,25,17,25,0,719,34.23809523809524
Olivia Olson,Michigan,649,22,411,124,50,7,42,25,708,32.18181818181818
Kennedy Blair,Michigan State,631,22,302,157,119,10,49,7,703,31.954545454545453
Lauren Betts,UCLA,549,20,329,166,59,45,23,0,690,34.5
Sayvia Sellers,Washington,631,21,404,55,75,17,33,52,686,32.666666666666664
Oluchi Okananwa,Maryland,632,23,392,128,43,5,47,19,686,29.82608695652174
Katie Fiso,Oregon,755,24,359,79,162,7,31,7,683,28.458333333333332
Kiki Rice,UCLA,637,21,314,139,98,13,36,19,668,31.80952380952381
Britt Prince,Nebraska,665,21,386,78,91,7,32,30,663,31.571428571428573
Berry Wallace,Illinois,734,21,406,144,38,9,13,30,662,31.523809523809526
Mia Jacobs,Oregon,656,24,329,132,44,11,33,50,643,26.791666666666668
Grace VanSlooten,Michigan State,587,22,332,139,43,20,43,1,641,29.136363636363637
Gracie Merkle,Penn State,513,20,386,156,26,24,6,0,628,31.4
Ava Heiden,Iowa,520,21,340,162,33,23,23,0,627,29.857142857142858
Kara Dunn,USC,677,21,332,114,45,7,34,47,620,29.523809523809526
Hannah Stuelke,Iowa,605,21,296,180,58,8,27,2,606,28.857142857142858
Avery Howell,Washington,677,21,276,171,30,8,31,51,606,28.857142857142858
Mila Holloway,Michigan,621,22,293,90,102,5,33,30,591,26.863636363636363
Yarden Garzon,Maryland,727,23,297,95,68,6,22,64,580,25.217391304347824
Caroline Lau,Northwestern,748,22,178,123,193,5,23,28,578,26.272727272727273
Kennedy Cambridge,Ohio State,597,22,186,93,76,17,87,14,577,26.227272727272727
Lenée Beaumont,Indiana,782,23,322,107,70,1,17,37,572,24.869565217391305
Rashunda Jones,Michigan State,639,22,277,78,83,2,57,16,572,26.0
Cearah Parchment,Illinois,556,21,265,168,23,11,35,18,566,26.952380952380953
Syla Swords,Michigan,669,21,286,83,54,6,40,50,565,26.904761904761905
Grace Grocholski,Minnesota,715,22,295,105,59,4,19,54,559,25.40909090909091
Saylor Poffenbarger,Maryland,605,21,217,131,68,17,38,32,558,26.571428571428573
Gabriela Jaquez,UCLA,628,21,311,121,43,3,21,33,556,26.476190476190474
Kyrah Daniels,Wisconsin,651,22,281,106,51,6,30,44,554,25.181818181818183
Ehis Etute,Oregon,477,23,242,189,31,15,30,1,553,24.043478260869566
Tara Daye,Purdue,597,22,264,149,55,6,28,11,547,24.863636363636363
Amaya Battle,Minnesota,660,22,218,157,84,8,32,8,547,24.863636363636363
Gianna Kneepkens,UCLA,587,21,287,72,70,3,26,54,541,25.761904761904763
Mara Braun,Minnesota,699,22,243,95,53,18,33,31,524,23.818181818181817
Madison Layden-Zay,Purdue,747,22,222,82,69,12,39,48,523,23.772727272727273
Tayla Thomas,Northwestern,561,22,221,179,24,30,16,3,519,23.59090909090909
Nene Ndiaye,Rutgers,634,20,283,107,34,5,32,21,519,25.95
Charlisse Leger-Walker,UCLA,576,21,186,90,122,6,35,31,511,24.333333333333332
Chance Gray,Ohio State,644,22,300,59,60,0,15,44,493,22.40909090909091
Destiny Howell,Wisconsin,586,21,306,67,20,7,16,51,490,23.333333333333332
Elsa Lemmilä,Ohio State,500,21,179,132,38,46,21,1,484,23.047619047619047
Imani Lester,Rutgers,497,21,233,118,26,26,22,7,480,22.857142857142858
Isimenme Ozzy-Momodu,Maryland,456,23,191,162,20,26,19,0,463,20.130434782608695
Jessica Petrie,Nebraska,461,20,237,99,26,21,18,17,457,22.85
Chazadi Wright,Iowa,563,18,230,49,74,1,28,42,453,25.166666666666668
Moriah Murray,Penn State,707,22,216,69,53,2,25,59,451,20.5
Tori McKinney,Minnesota,472,18,237,63,45,9,33,19,448,24.88888888888889
Sofia Bell,Oregon,701,24,183,62,35,17,44,44,446,18.583333333333332
Kennedy Smith,USC,565,18,179,82,69,17,35,12,446,24.77777777777778
Brooke Q. Daniels,Michigan,557,22,137,122,67,7,52,0,444,20.181818181818183
Ari Long,Oregon,570,24,160,93,43,13,49,23,443,18.458333333333332
Te'Yala Delfosse,Michigan,448,22,231,113,23,13,17,14,441,20.045454545454547
Ronnie Porter,Wisconsin,646,22,141,98,99,4,34,19,433,19.681818181818183
Gift Uchenna,Wisconsin,386,22,165,147,15,32,20,1,432,19.636363636363637
Destiny Jackson,Illinois,630,21,179,81,102,2,30,6,432,20.571428571428573
Amiah Hargrove,Nebraska,455,20,245,117,15,4,14,16,429,21.45
Angela Dugalić,UCLA,488,21,197,112,37,11,21,18,428,20.38095238095238
Addi Mack,Maryland,570,21,238,65,54,3,21,14,419,19.952380952380953
Sophie Hart,Minnesota,492,22,218,127,17,13,15,0,418,19.0
