name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Grace Sullivan,Northwestern,170,5,105,46,8,7,6,0,185,37.0
Shay Ciezki,Indiana,172,5,106,30,13,2,7,12,179,35.8
Jazzy Davidson,USC,161,5,76,27,19,11,12,5,173,34.6
Saylor Poffenbarger,Maryland,153,6,63,37,18,3,15,15,169,28.166666666666668
Grace VanSlooten,Michigan State,115,5,86,25,13,5,17,0,168,33.6
Kiyomi McMiller,Penn State,137,4,80,30,24,1,14,3,167,41.75
Nene Ndiaye,Rutgers,198,6,95,33,10,3,7,6,164,27.333333333333332
Kyrah Daniels,Wisconsin,173,6,78,35,19,2,7,14,164,27.333333333333332
Olivia Olson,Michigan,126,5,89,26,9,2,12,9,161,32.2
Lauren Betts,UCLA,146,5,76,39,21,11,1,0,160,32.0
Oluchi Okananwa,Maryland,140,6,87,30,12,3,8,7,158,26.333333333333332
Britt Prince,Nebraska,136,5,106,19,13,0,4,8,154,30.8
Syla Swords,Michigan,153,5,78,30,13,1,7,15,152,30.4
Sayvia Sellers,Washington,102,4,84,11,19,6,9,8,152,38.0
Mila Holloway,Michigan,142,5,64,19,30,2,15,4,151,30.2
Gabriela Jaquez,UCLA,156,5,78,39,12,1,5,9,150,30.0
Tayla Thomas,Northwestern,140,5,60,59,6,9,2,2,149,29.8
Zachara Perkins,Rutgers,190,6,69,35,7,7,8,7,148,24.666666666666668
Kennedy Blair,Michigan State,103,5,50,35,33,2,12,0,146,29.2
Berry Wallace,Illinois,141,4,95,32,6,1,2,6,145,36.25
Kiki Rice,UCLA,145,5,67,35,17,6,5,4,145,29.0
Katie Fiso,Oregon,136,5,74,8,43,2,8,0,145,29.0
Kaylah Ivey,Rutgers,223,6,72,18,17,1,9,14,141,23.5
Destiny Howell,Wisconsin,156,6,79,25,8,2,6,12,140,23.333333333333332
Mia Jacobs,Oregon,128,5,86,24,6,1,6,10,140,28.0
Ava Heiden,Iowa,115,5,75,47,5,4,2,0,139,27.8
Gracie Merkle,Penn State,106,4,78,35,10,7,1,0,139,34.75
Jaloni Cambridge,Ohio State,114,4,77,26,14,1,9,1,138,34.5
Zania Socka-Nguemen,Indiana,134,5,72,48,4,3,4,0,138,27.6
Imani Lester,Rutgers,158,6,63,37,8,6,6,2,134,22.333333333333332
Gianna Kneepkens,UCLA,145,5,70,20,17,2,4,10,129,25.8
Grace Grocholski,Minnesota,130,5,58,29,18,2,4,11,128,25.6
Rashunda Jones,Michigan State,118,5,51,13,24,1,18,2,128,25.6
Jessica Petrie,Nebraska,119,5,64,25,13,4,6,5,127,25.4
