name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Kiyomi McMiller,Penn State,102,3,65,20,18,1,11,2,129,43.0
Shay Ciezki,Indiana,106,3,70,19,8,2,6,9,122,40.666666666666664
Nene Ndiaye,Rutgers,127,4,73,22,7,2,4,6,120,30.0
Saylor Poffenbarger,Maryland,98,4,36,25,14,3,11,9,112,28.0
Kaylah Ivey,Rutgers,149,4,54,11,14,1,7,10,105,26.25
Kyrah Daniels,Wisconsin,106,4,52,19,8,2,4,10,101,25.25
Gabriela Jaquez,UCLA,97,3,49,25,9,1,4,7,100,33.333333333333336
Oluchi Okananwa,Maryland,89,4,54,22,8,2,3,6,100,25.0
Destiny Howell,Wisconsin,113,4,53,18,7,1,4,8,96,24.0
Gracie Merkle,Penn State,79,3,53,24,7,5,1,0,96,32.0
Grace VanSlooten,Michigan State,71,3,50,16,7,0,11,0,95,31.666666666666668
Imani Lester,Rutgers,116,4,44,26,7,3,5,2,95,23.75
Gift Uchenna,Wisconsin,70,4,40,30,4,6,4,0,94,23.5
Zania Socka-Nguemen,Indiana,86,3,51,29,2,2,3,0,92,30.666666666666668
Hila Karsh,Purdue,105,3,54,15,7,1,2,7,89,29.666666666666668
Kiki Rice,UCLA,88,3,40,18,14,4,3,2,88,29.333333333333332
Britt Prince,Nebraska,75,3,60,12,6,0,3,4,88,29.333333333333332
Katie Fiso,Oregon,75,3,40,4,25,2,7,0,87,29.0
Zachara Perkins,Rutgers,117,4,37,22,3,6,5,3,87,21.75
Grace Grocholski,Minnesota,79,3,36,20,13,2,3,7,86,28.666666666666668
Gianna Kneepkens,UCLA,88,3,49,14,7,2,2,7,85,28.333333333333332
Lauren Betts,UCLA,88,3,42,21,9,6,0,0,84,28.0
Kiki Smith,Purdue,91,3,46,10,3,2,6,8,83,27.666666666666668
Grace Sullivan,Northwestern,70,2,43,24,4,4,2,0,83,41.5
Jessica Petrie,Nebraska,75,3,42,16,5,2,5,4,81,27.0
Theryn Hallock,Michigan State,69,3,44,4,8,0,10,5,81,27.0
Mia Jacobs,Oregon,70,3,49,12,5,1,3,5,79,26.333333333333332
Kennedy Blair,Michigan State,58,3,28,12,21,2,7,0,79,26.333333333333332
Rashunda Jones,Michigan State,73,3,34,8,15,0,11,0,79,26.333333333333332
Yarden Garzon,Maryland,95,4,34,15,13,0,5,6,78,19.5
Angela Dugalić,UCLA,74,3,21,25,3,4,8,4,77,25.666666666666668
Addi Mack,Maryland,84,4,46,8,9,1,5,2,77,19.25
Tori McKinney,Minnesota,67,3,44,7,4,1,8,3,76,25.333333333333332
Mila Holloway,Michigan,54,2,38,8,11,0,9,1,76,38.0
Jazzy Davidson,USC,65,2,35,9,8,6,4,3,75,37.5
Berry Wallace,Illinois,69,2,49,18,5,0,0,2,74,37.0
Laci Steele,Wisconsin,91,4,36,13,3,1,8,3,73,18.25
Isimenme Ozzy-Momodu,Maryland,66,4,39,19,3,5,1,0,73,18.25
Mara Braun,Minnesota,76,3,31,15,10,1,5,5,73,24.333333333333332
