name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Shay Ciezki,Indiana,383,11,274,45,33,2,15,26,412,37.45454545454545
Grace Sullivan,Northwestern,313,9,219,82,12,10,14,0,361,40.111111111111114
Jazzy Davidson,USC,288,9,150,63,38,21,15,14,337,37.44444444444444
Kiyomi McMiller,Penn State,290,9,171,51,50,3,22,5,327,36.333333333333336
Oluchi Okananwa,Maryland,302,12,180,60,24,5,20,8,322,26.833333333333332
Gracie Merkle,Penn State,235,9,201,72,17,14,2,0,322,35.77777777777778
Nene Ndiaye,Rutgers,365,11,176,63,19,5,19,13,319,29.0
Britt Prince,Nebraska,298,10,199,34,42,1,13,16,319,31.9
Jaloni Cambridge,Ohio State,255,9,194,50,28,1,20,4,318,35.333333333333336
Katie Fiso,Oregon,315,11,170,24,86,4,12,4,316,28.727272727272727
Saylor Poffenbarger,Maryland,302,11,125,69,32,7,26,23,315,28.636363636363637
Ava Heiden,Iowa,234,10,153,85,17,13,12,0,305,30.5
Sayvia Sellers,Washington,256,9,173,27,33,9,15,20,301,33.44444444444444
Mia Jacobs,Oregon,295,11,155,58,18,4,21,19,300,27.272727272727273
Kiki Rice,UCLA,298,10,145,71,36,8,11,8,298,29.8
Olivia Olson,Michigan,228,9,164,54,19,2,18,12,289,32.111111111111114
Yarden Garzon,Maryland,344,12,139,45,39,1,17,29,288,24.0
Kyrah Daniels,Wisconsin,309,11,141,52,27,4,16,25,285,25.90909090909091
Lenée Beaumont,Indiana,363,11,167,53,36,0,5,18,284,25.818181818181817
Kennedy Blair,Michigan State,223,9,117,61,56,4,19,4,284,31.555555555555557
Lauren Betts,UCLA,270,9,130,70,29,21,6,0,283,31.444444444444443
Berry Wallace,Illinois,315,10,168,70,18,1,6,9,279,27.9
Gabriela Jaquez,UCLA,310,10,148,63,25,1,10,18,276,27.6
Cearah Parchment,Illinois,249,10,113,83,12,3,21,9,265,26.5
Mila Holloway,Michigan,244,9,121,31,42,3,24,12,260,28.88888888888889
Grace VanSlooten,Michigan State,213,9,132,45,17,9,23,0,258,28.666666666666668
Grace Grocholski,Minnesota,300,10,132,46,34,3,7,26,258,25.8
Charlisse Leger-Walker,UCLA,284,10,97,41,63,4,18,12,257,25.7
Gianna Kneepkens,UCLA,286,10,142,35,33,3,8,25,257,25.7
Hannah Stuelke,Iowa,267,10,113,90,22,2,13,2,257,25.7
Gretchen Dolan,Illinois,303,10,144,36,34,3,13,9,255,25.5
Imani Lester,Rutgers,263,11,117,65,13,15,13,3,254,23.09090909090909
Zachara Perkins,Rutgers,358,11,120,60,14,10,12,11,249,22.636363636363637
Avery Howell,Washington,267,9,113,68,15,4,12,20,248,27.555555555555557
Syla Swords,Michigan,258,9,120,47,22,3,16,19,246,27.333333333333332
Mara Braun,Minnesota,304,10,106,40,30,10,17,14,244,24.4
Jessica Petrie,Nebraska,226,10,122,55,16,10,9,11,242,24.2
Angela Dugalić,UCLA,262,10,105,68,12,8,14,10,239,23.9
Kennedy Cambridge,Ohio State,231,9,59,38,33,8,42,5,235,26.11111111111111
Destiny Howell,Wisconsin,283,11,139,41,11,2,8,23,234,21.272727272727273
Isimenme Ozzy-Momodu,Maryland,204,12,101,63,12,16,12,0,232,19.333333333333332
Amiah Hargrove,Nebraska,216,10,123,66,11,1,12,5,231,23.1
Kaylah Ivey,Rutgers,388,11,104,33,37,1,17,21,231,21.0
Rashunda Jones,Michigan State,240,9,102,22,43,1,28,5,230,25.555555555555557
Amaya Battle,Minnesota,287,10,71,77,45,3,12,4,227,22.7
Tara Daye,Purdue,242,10,113,67,17,1,12,3,226,22.6
Gift Uchenna,Wisconsin,178,11,79,77,6,19,13,0,226,20.545454545454547
Moriah Murray,Penn State,279,9,106,31,24,2,15,29,224,24.88888888888889
Tayla Thomas,Northwestern,233,9,83,92,9,13,6,2,224,24.88888888888889
Destiny Jackson,Illinois,299,10,80,44,53,1,20,4,223,22.3
Callin Hake,Nebraska,255,10,89,28,51,1,17,17,221,22.1
Kennedy Smith,USC,281,9,90,38,33,10,16,6,219,24.333333333333332
Ronnie Porter,Wisconsin,285,11,74,48,50,0,17,7,213,19.363636363636363
Kara Dunn,USC,259,9,103,49,12,4,14,13,213,23.666666666666668
Addi Mack,Maryland,260,10,116,32,29,1,12,7,210,21.0
Ehis Etute,Oregon,178,10,83,76,8,6,15,0,209,20.9
Tori McKinney,Minnesota,188,8,111,21,16,5,20,7,205,25.625
Caroline Lau,Northwestern,288,9,52,45,85,1,6,9,205,22.77777777777778
Kylee Kitts,Ohio State,198,9,86,58,11,15,8,3,204,22.666666666666668
Taylor McCabe,Iowa,281,10,99,44,21,2,3,30,204,20.4
Te'Yala Delfosse,Michigan,171,9,103,56,9,8,6,8,204,22.666666666666668
Brylee Glenn,Minnesota,251,10,97,41,24,4,14,5,203,20.3
