name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,1134,35,813,196,155,15,66,49,1375,39.285714285714285
Lauren Betts,UCLA,961,35,603,302,112,71,38,0,1235,35.285714285714285
Jazzy Davidson,USC,1104,32,574,179,132,63,64,59,1198,37.4375
Olivia Olson,Michigan,1056,34,652,208,86,16,62,39,1141,33.55882352941177
Shay Ciezki,Indiana,1100,31,708,119,95,5,48,79,1107,35.70967741935484
Kiki Rice,UCLA,1104,36,546,212,157,14,53,33,1082,30.055555555555557
Ava Heiden,Iowa,876,34,612,246,51,43,40,0,1075,31.61764705882353
Kiyomi McMiller,Penn State,961,29,627,144,130,8,53,41,1064,36.689655172413794
Kennedy Blair,Michigan State,965,32,464,227,167,14,76,12,1050,32.8125
Sayvia Sellers,Washington,1053,33,594,96,130,25,52,74,1048,31.757575757575758
Katie Fiso,Oregon,1155,36,558,126,222,10,48,12,1034,28.72222222222222
Berry Wallace,Illinois,1213,34,626,212,60,12,24,50,1020,30.0
Oluchi Okananwa,Maryland,887,33,586,178,67,8,74,24,1019,30.87878787878788
Britt Prince,Nebraska,1038,32,572,131,142,16,47,42,1013,31.65625
Avery Howell,Washington,1133,33,468,273,47,13,45,85,989,29.96969696969697
Cearah Parchment,Illinois,978,34,463,285,48,16,57,35,977,28.735294117647058
Grace VanSlooten,Michigan State,919,32,482,216,72,33,60,1,957,29.90625
Ehis Etute,Oregon,836,35,437,315,51,29,47,1,956,27.314285714285713
Kennedy Cambridge,Ohio State,1015,35,314,165,117,23,130,29,931,26.6
Hannah Stuelke,Iowa,975,32,429,289,94,13,40,2,920,28.75
Syla Swords,Michigan,1114,33,489,139,81,7,52,82,909,27.545454545454547
Grace Sullivan,Northwestern,945,28,599,172,30,23,30,0,907,32.392857142857146
Mila Holloway,Michigan,982,34,421,139,165,7,53,45,890,26.176470588235293
Gabriela Jaquez,UCLA,1083,36,481,194,71,4,42,46,884,24.555555555555557
Kara Dunn,USC,1026,32,485,161,63,12,40,71,884,27.625
Elsa Lemmilä,Ohio State,897,34,309,255,74,77,33,2,860,25.294117647058822
Gianna Kneepkens,UCLA,1014,36,462,113,106,7,39,82,855,23.75
Charlisse Leger-Walker,UCLA,1009,36,308,143,207,12,58,47,845,23.47222222222222
Amaya Battle,Minnesota,1029,33,367,248,119,9,39,13,843,25.545454545454547
Kyrah Daniels,Wisconsin,1020,33,417,172,87,9,40,67,841,25.484848484848484
Chance Gray,Ohio State,1123,35,513,87,94,0,30,85,839,23.97142857142857
Mia Jacobs,Oregon,912,34,422,177,55,14,42,63,829,24.38235294117647
Saylor Poffenbarger,Maryland,927,31,295,223,100,20,60,46,824,26.580645161290324
Yarden Garzon,Maryland,1064,33,412,131,99,12,35,88,824,24.96969696969697
