name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Mila Holloway,Michigan,26,1,21,5,8,0,7,0,48,48.0
Kiyomi McMiller,Penn State,38,1,24,6,7,1,4,0,47,47.0
Grace Sullivan,Northwestern,36,1,18,18,2,2,1,0,44,44.0
Berry Wallace,Illinois,35,1,27,11,3,0,0,2,43,43.0
Sayvia Sellers,Washington,17,1,21,3,6,1,4,1,41,41.0
Kennedy Blair,Michigan State,20,1,14,5,12,1,3,0,39,39.0
Ava Heiden,Iowa,25,1,21,14,0,1,1,0,39,39.0
Imani Lester,Rutgers,24,1,17,8,3,1,3,1,37,37.0
Tayla Thomas,Northwestern,30,1,13,13,1,4,1,0,37,37.0
Grace VanSlooten,Michigan State,18,1,18,4,4,0,5,0,36,36.0
Saylor Poffenbarger,Maryland,20,1,11,5,4,1,5,3,35,35.0
Shay Ciezki,Indiana,30,1,22,5,3,0,1,2,34,34.0
Theryn Hallock,Michigan State,21,1,19,0,1,0,6,2,34,34.0
Gabriela Jaquez,UCLA,34,1,15,11,5,0,1,1,34,34.0
Destiny Howell,Wisconsin,26,1,17,6,3,1,1,3,33,33.0
Makena Christian,Minnesota,21,1,23,3,0,0,1,5,33,33.0
Hannah Stuelke,Iowa,27,1,20,9,1,1,0,1,33,33.0
Olivia Olson,Michigan,20,1,18,2,1,1,3,3,32,32.0
Zachara Perkins,Rutgers,28,1,11,9,0,2,3,2,32,32.0
Gracie Merkle,Penn State,29,1,24,4,1,0,1,0,31,31.0
Xamiya Walton,Northwestern,29,1,17,3,5,1,0,4,31,31.0
Claire Johnson,Nebraska,20,1,21,3,1,0,2,2,31,31.0
Kaylah Ivey,Rutgers,30,1,13,3,8,0,2,2,30,30.0
Gretchen Dolan,Illinois,29,1,16,5,7,0,1,0,30,30.0
Brooke Q. Daniels,Michigan,16,1,4,4,6,0,8,0,30,30.0
Mia Jacobs,Oregon,23,1,16,6,2,0,2,2,30,30.0
Te'Yala Delfosse,Michigan,18,1,14,6,2,1,2,1,29,29.0
Britt Prince,Nebraska,21,1,19,5,1,0,1,1,28,28.0
Zania Socka-Nguemen,Indiana,25,1,19,6,1,0,1,0,28,28.0
Madison Layden-Zay,Purdue,34,1,8,6,2,3,2,2,28,28.0
Oluchi Okananwa,Maryland,17,1,18,2,3,0,0,4,27,27.0
Jazzy Davidson,USC,30,1,14,5,4,1,1,0,27,27.0
Charlisse Leger-Walker,UCLA,24,1,12,2,5,1,2,2,27,27.0
Kara Dunn,USC,24,1,12,8,1,0,2,2,27,27.0
Kiki Smith,Purdue,28,1,19,3,0,1,0,3,27,27.0
Rashunda Jones,Michigan State,19,1,15,1,3,0,4,0,27,27.0
Elisa Mevius,Oregon,22,1,15,1,2,1,3,1,27,27.0
Emily Fisher,Nebraska,20,1,9,4,3,1,4,0,26,26.0
Gianna Kneepkens,UCLA,32,1,9,7,3,2,1,1,26,26.0
Londynn Jones,USC,18,1,16,3,3,0,2,0,26,26.0
Kyrah Daniels,Wisconsin,22,1,11,5,3,1,2,1,26,26.0
Katie Fiso,Oregon,23,1,10,0,10,0,3,0,26,26.0
Jalyn Brown,Michigan State,19,1,13,8,3,0,1,0,26,26.0
Avery Howell,Washington,19,1,18,4,0,0,0,4,26,26.0
Lauren Betts,UCLA,26,1,21,4,1,0,0,0,26,26.0
Emma Shumate,Michigan State,19,1,14,6,0,1,0,4,26,26.0
Dorja Iva Zaja,Wisconsin,16,1,8,6,0,6,0,0,26,26.0
Amy Terrian,Michigan State,18,1,15,1,4,0,0,5,25,25.0
Sophie Hart,Minnesota,19,1,16,7,0,0,1,0,25,25.0
Tara Daye,Purdue,27,1,10,7,2,0,3,0,25,25.0
Emely Rodriguez,Iowa,19,1,13,3,3,0,2,1,24,24.0
Kennedy Smith,USC,27,1,11,4,2,1,2,1,24,24.0
Callin Hake,Nebraska,17,1,13,1,3,0,3,1,24,24.0
Lana McCarthy,Purdue,22,1,10,7,3,1,1,0,24,24.0
Jessica Petrie,Nebraska,25,1,11,7,0,0,2,1,23,23.0
Hila Karsh,Purdue,35,1,12,5,2,1,1,0,23,23.0
Ari Long,Oregon,17,1,3,3,2,3,4,1,23,23.0
Viktoria Ranisavljevic,Penn State,27,1,8,6,3,0,2,2,23,23.0
Casey Harter,Northwestern,34,1,13,2,0,3,0,1,22,22.0
Isaline Alexander,Michigan State,20,1,8,6,0,3,1,0,22,22.0
Ashley Sofilkanich,Michigan,21,1,14,5,1,0,1,0,22,22.0
Finau Tonga,Minnesota,11,1,14,7,1,0,0,0,22,22.0
Angela Dugalić,UCLA,20,1,5,6,0,4,1,1,22,22.0
Kiki Rice,UCLA,25,1,10,4,5,1,0,1,22,22.0
Hannah Stines,Washington,22,1,7,4,5,0,3,0,22,22.0
Lenée Beaumont,Indiana,29,1,10,3,3,0,3,0,22,22.0
Tori McKinney,Minnesota,21,1,12,2,1,0,3,0,21,21.0
Chazadi Wright,Iowa,28,1,9,1,7,0,2,0,21,21.0
Maddie Webber,Illinois,28,1,16,1,0,0,1,2,21,21.0
Sienna Harvey,Washington,16,1,15,2,1,0,1,1,21,21.0
Nevaeh Caffey,Indiana,31,1,9,5,1,0,2,1,20,20.0
Sarah Rambus,Oregon,14,1,13,4,1,0,1,0,20,20.0
Lauryn Swann,Rutgers,23,1,8,6,2,0,2,0,20,20.0
Ehis Etute,Oregon,16,1,3,8,1,1,3,0,20,20.0
Dayana Mendes,USC,18,1,9,5,1,0,1,3,20,20.0
Amina Muhammad,Oregon,16,1,10,7,1,0,1,0,20,20.0
Kyndal Walker,Maryland,16,1,6,4,2,0,4,0,20,20.0
Nene Ndiaye,Rutgers,26,1,10,4,1,1,1,1,20,20.0
Destiny Jackson,Illinois,33,1,6,4,6,1,1,0,20,20.0
Amaya Battle,Minnesota,24,1,0,10,7,1,0,0,19,19.0
Taylor Stremlow,Iowa,16,1,0,4,3,3,3,0,19,19.0
Sofia Bell,Oregon,16,1,8,1,2,0,3,2,19,19.0
Vitoria Santana,Penn State,23,1,3,4,5,0,3,1,19,19.0
Laci Steele,Wisconsin,21,1,12,4,0,0,1,1,19,19.0
Amiya Evans,Penn State,15,1,6,7,1,1,1,0,18,18.0
Shay Bollin,Wisconsin,14,1,13,3,0,0,0,2,18,18.0
Syla Swords,Michigan,26,1,9,3,1,0,2,1,18,18.0
Mara Braun,Minnesota,21,1,5,6,3,0,1,1,17,17.0
Yarden Garzon,Maryland,24,1,3,3,6,0,2,1,17,17.0
Janae Walker,Rutgers,14,1,9,6,0,0,1,0,17,17.0
Lea Bartelme,Maryland,19,1,7,3,2,0,2,1,17,17.0
Olivia Anderson,Washington,12,1,5,3,1,4,0,0,17,17.0
Gift Uchenna,Wisconsin,10,1,8,7,0,1,0,0,17,17.0
Malia Samuels,USC,24,1,4,3,4,0,2,1,16,16.0
Marya Boiko,Maryland,14,1,8,5,1,1,0,0,16,16.0
Taylor McCabe,Iowa,23,1,6,5,3,0,0,2,16,16.0
