name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Shay Ciezki,Indiana,423,12,299,47,35,2,17,29,448,37.333333333333336
Grace Sullivan,Northwestern,348,10,240,86,13,10,16,0,391,39.1
Jazzy Davidson,USC,325,10,160,67,39,25,16,16,364,36.4
Kiyomi McMiller,Penn State,325,10,193,57,53,3,23,7,362,36.2
Jaloni Cambridge,Ohio State,286,10,206,53,36,2,24,5,352,35.2
Britt Prince,Nebraska,326,11,212,40,48,2,14,16,348,31.636363636363637
Sayvia Sellers,Washington,294,10,203,30,35,9,16,27,345,34.5
Gracie Merkle,Penn State,259,10,210,81,18,14,2,0,341,34.1
Katie Fiso,Oregon,342,12,180,25,91,4,14,4,336,28.0
Mia Jacobs,Oregon,321,12,168,68,22,4,23,22,334,27.833333333333332
Ava Heiden,Iowa,257,11,167,87,20,14,12,0,326,29.636363636363637
Oluchi Okananwa,Maryland,302,12,180,60,24,5,20,8,322,26.833333333333332
Berry Wallace,Illinois,354,11,196,79,19,1,7,12,322,29.272727272727273
Nene Ndiaye,Rutgers,365,11,176,63,19,5,19,13,319,29.0
Lenée Beaumont,Indiana,399,12,182,58,40,0,8,20,316,26.333333333333332
Saylor Poffenbarger,Maryland,302,11,125,69,32,7,26,23,315,28.636363636363637
Kennedy Blair,Michigan State,246,10,133,68,61,5,19,4,314,31.4
Olivia Olson,Michigan,256,10,180,54,20,2,22,12,314,31.4
Hannah Stuelke,Iowa,292,11,144,96,25,2,16,2,303,27.545454545454547
Kiki Rice,UCLA,298,10,145,71,36,8,11,8,298,29.8
Gretchen Dolan,Illinois,334,11,163,41,38,4,14,13,291,26.454545454545453
Yarden Garzon,Maryland,344,12,139,45,39,1,17,29,288,24.0
Mila Holloway,Michigan,267,10,133,36,49,3,25,13,287,28.7
Kyrah Daniels,Wisconsin,309,11,141,52,27,4,16,25,285,25.90909090909091
Cearah Parchment,Illinois,272,11,119,88,14,4,23,9,284,25.818181818181817
