name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,539,18,393,99,78,7,42,17,685,38.05555555555556
Shay Ciezki,Indiana,680,19,440,61,56,3,26,44,659,34.68421052631579
Jazzy Davidson,USC,536,16,263,111,58,42,28,30,602,37.625
Kiyomi McMiller,Penn State,588,18,341,90,84,3,30,18,599,33.27777777777778
Grace Sullivan,Northwestern,528,16,358,111,19,15,23,0,564,35.25
Gracie Merkle,Penn State,455,18,346,140,24,21,5,0,562,31.22222222222222
Lauren Betts,UCLA,451,16,263,137,45,35,17,0,549,34.3125
Oluchi Okananwa,Maryland,465,18,313,94,39,5,39,15,549,30.5
Kiki Rice,UCLA,511,17,266,108,74,11,27,17,541,31.823529411764707
Britt Prince,Nebraska,533,17,311,62,74,6,25,25,534,31.41176470588235
Sayvia Sellers,Washington,490,17,308,47,56,12,29,41,534,31.41176470588235
Kennedy Blair,Michigan State,465,17,227,122,97,7,33,7,533,31.352941176470587
Katie Fiso,Oregon,553,18,279,56,130,5,26,5,532,29.555555555555557
Mia Jacobs,Oregon,496,18,261,109,34,6,32,38,518,28.77777777777778
Berry Wallace,Illinois,574,17,318,118,29,6,8,25,518,30.470588235294116
Olivia Olson,Michigan,449,16,286,87,33,6,29,16,492,30.75
Kennedy Cambridge,Ohio State,472,18,152,79,70,14,74,12,489,27.166666666666668
Grace VanSlooten,Michigan State,432,17,248,107,28,16,33,1,482,28.352941176470587
Ava Heiden,Iowa,374,16,256,123,28,18,16,0,475,29.6875
Avery Howell,Washington,529,17,224,129,22,7,22,41,474,27.88235294117647
Yarden Garzon,Maryland,544,18,241,79,58,3,18,53,473,26.27777777777778
Lenée Beaumont,Indiana,637,19,252,85,58,1,15,32,459,24.157894736842106
Gianna Kneepkens,UCLA,470,17,235,64,60,3,23,44,455,26.764705882352942
Nene Ndiaye,Rutgers,533,17,250,93,27,5,28,17,453,26.647058823529413
Rashunda Jones,Michigan State,472,17,219,60,66,1,44,13,448,26.352941176470587
Cearah Parchment,Illinois,441,17,198,131,21,9,34,12,448,26.352941176470587
Hannah Stuelke,Iowa,446,16,216,136,38,5,20,2,442,27.625
Grace Grocholski,Minnesota,537,17,231,86,46,4,14,42,441,25.941176470588236
Kyrah Daniels,Wisconsin,495,17,218,80,39,6,24,36,433,25.470588235294116
Saylor Poffenbarger,Maryland,430,16,168,93,55,13,32,27,433,27.0625
Caroline Lau,Northwestern,572,17,125,96,158,4,13,19,432,25.41176470588235
Gabriela Jaquez,UCLA,508,17,234,102,35,2,14,28,431,25.352941176470587
Madison Layden-Zay,Purdue,578,17,185,71,45,8,33,40,423,24.88235294117647
Tara Daye,Purdue,443,17,210,113,39,4,22,8,422,24.823529411764707
Gretchen Dolan,Illinois,522,17,232,61,50,7,21,15,414,24.352941176470587
Mila Holloway,Michigan,434,16,204,57,71,4,28,18,414,25.875
Tayla Thomas,Northwestern,440,17,173,144,18,28,10,2,413,24.294117647058822
Charlisse Leger-Walker,UCLA,461,17,148,66,103,6,31,22,413,24.294117647058822
Syla Swords,Michigan,464,15,208,72,35,5,26,34,411,27.4
Jessica Petrie,Nebraska,401,17,207,87,24,20,16,16,406,23.88235294117647
Kara Dunn,USC,497,16,208,76,31,4,26,30,405,25.3125
Moriah Murray,Penn State,581,18,191,61,44,2,24,54,402,22.333333333333332
Mara Braun,Minnesota,527,17,186,68,44,12,28,24,402,23.647058823529413
Kylee Kitts,Ohio State,412,18,172,131,23,17,16,9,401,22.27777777777778
Chance Gray,Ohio State,505,18,239,50,55,0,12,30,398,22.11111111111111
Imani Lester,Rutgers,414,17,184,98,22,22,20,6,394,23.176470588235293
Amaya Battle,Minnesota,495,17,139,125,66,5,23,4,390,22.941176470588236
Ehis Etute,Oregon,322,17,151,127,19,10,24,0,365,21.470588235294116
