name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Kiyomi McMiller,Penn State,199,6,118,40,36,2,18,5,239,39.833333333333336
Gracie Merkle,Penn State,158,6,143,54,15,9,1,0,232,38.666666666666664
Nene Ndiaye,Rutgers,234,7,121,41,12,3,11,7,209,29.857142857142858
Saylor Poffenbarger,Maryland,183,7,69,43,22,5,20,15,199,28.428571428571427
Olivia Olson,Michigan,154,6,107,34,12,2,13,11,194,32.333333333333336
Oluchi Okananwa,Maryland,173,7,110,34,17,4,9,7,194,27.714285714285715
Grace VanSlooten,Michigan State,135,6,100,30,14,5,19,0,192,32.0
Lauren Betts,UCLA,171,6,91,45,22,13,4,0,192,32.0
Kyrah Daniels,Wisconsin,202,7,91,40,23,2,8,15,189,27.0
Kennedy Blair,Michigan State,127,6,75,38,38,2,16,1,188,31.333333333333332
Britt Prince,Nebraska,169,6,124,22,20,1,6,8,188,31.333333333333332
Grace Sullivan,Northwestern,170,5,105,46,8,7,6,0,185,37.0
Sayvia Sellers,Washington,134,5,106,14,23,6,10,9,184,36.8
Shay Ciezki,Indiana,172,5,106,30,13,2,7,12,179,35.8
Jaloni Cambridge,Ohio State,151,5,103,32,16,1,11,3,178,35.6
Kiki Rice,UCLA,171,6,84,43,22,7,5,5,178,29.666666666666668
Zachara Perkins,Rutgers,229,7,86,42,7,7,9,9,176,25.142857142857142
Katie Fiso,Oregon,163,6,87,14,49,3,10,0,176,29.333333333333332
Mia Jacobs,Oregon,156,6,97,31,8,1,12,13,175,29.166666666666668
Jazzy Davidson,USC,161,5,76,27,19,11,12,5,173,34.6
Mila Holloway,Michigan,166,6,73,24,35,2,16,5,173,28.833333333333332
Gabriela Jaquez,UCLA,185,6,84,47,17,1,7,9,173,28.833333333333332
Imani Lester,Rutgers,182,7,73,46,11,10,9,3,171,24.428571428571427
Ava Heiden,Iowa,144,6,95,53,5,5,4,0,171,28.5
Syla Swords,Michigan,178,6,84,36,16,1,9,15,171,28.5
Berry Wallace,Illinois,175,5,105,38,10,1,2,8,167,33.4
Rashunda Jones,Michigan State,142,6,60,14,32,1,23,2,156,26.0
Yarden Garzon,Maryland,193,7,71,29,23,0,10,13,156,22.285714285714285
Kaylah Ivey,Rutgers,260,7,75,22,23,1,10,14,156,22.285714285714285
Angela Dugalić,UCLA,160,6,68,42,6,6,8,10,154,25.666666666666668
Destiny Howell,Wisconsin,172,7,89,27,8,2,6,14,154,22.0
Hannah Stuelke,Iowa,166,6,75,50,10,1,7,2,153,25.5
Tayla Thomas,Northwestern,140,5,60,59,6,9,2,2,149,29.8
Grace Grocholski,Minnesota,165,6,70,31,19,2,6,13,149,24.833333333333332
Gianna Kneepkens,UCLA,161,6,76,24,22,2,5,12,148,24.666666666666668
Jessica Petrie,Nebraska,139,6,72,30,13,7,6,7,148,24.666666666666668
Mara Braun,Minnesota,167,6,64,24,18,4,9,10,142,23.666666666666668
Charlisse Leger-Walker,UCLA,165,6,55,21,36,3,9,6,142,23.666666666666668
Moriah Murray,Penn State,175,6,66,19,17,2,8,19,141,23.5
Amaya Battle,Minnesota,165,6,35,51,26,2,10,3,139,23.166666666666668
Gift Uchenna,Wisconsin,106,7,51,46,4,9,10,0,139,19.857142857142858
Zania Socka-Nguemen,Indiana,134,5,72,48,4,3,4,0,138,27.6
Theryn Hallock,Michigan State,129,6,67,8,19,1,17,7,137,22.833333333333332
Te'Yala Delfosse,Michigan,116,6,69,33,8,5,4,8,136,22.666666666666668
Jalyn Brown,Michigan State,128,6,67,25,13,2,11,3,134,22.333333333333332
Gretchen Dolan,Illinois,162,5,79,19,19,1,6,2,133,26.6
Kennedy Smith,USC,157,5,55,24,15,5,9,4,126,25.2
Isimenme Ozzy-Momodu,Maryland,113,7,61,36,4,9,3,0,125,17.857142857142858
Lenée Beaumont,Indiana,159,5,68,28,15,0,3,7,124,24.8
Callin Hake,Nebraska,145,6,51,16,25,1,10,9,123,20.5
Addi Mack,Maryland,140,6,73,15,14,1,8,3,123,20.5
Ronnie Porter,Wisconsin,173,7,43,23,30,0,11,3,121,17.285714285714285
Chazadi Wright,Iowa,129,5,63,8,24,0,7,12,121,24.2
Taylor McCabe,Iowa,153,6,46,33,16,2,3,14,119,19.833333333333332
Kara Dunn,USC,141,5,59,29,5,1,8,8,119,23.8
Tori McKinney,Minnesota,106,5,66,11,7,2,12,5,117,23.4
Kennedy Cambridge,Ohio State,129,5,34,22,15,2,19,4,117,23.4
Tea Cleante,Penn State,151,5,59,12,11,0,12,10,116,23.2
Amiah Hargrove,Nebraska,134,6,56,40,7,1,5,1,116,19.333333333333332
Kylee Kitts,Ohio State,122,5,40,42,3,9,5,2,115,23.0
Taylor Stremlow,Iowa,106,6,41,19,16,4,12,6,114,19.0
Chance Gray,Ohio State,138,5,75,16,11,0,1,10,114,22.8
Sofia Bell,Oregon,146,6,45,15,9,5,12,11,114,19.0
Brylee Glenn,Minnesota,139,6,58,18,15,1,9,2,113,18.833333333333332
Caroline Lau,Northwestern,159,5,32,24,44,0,4,5,113,22.6
Madison Layden-Zay,Purdue,164,5,47,22,12,4,6,11,112,22.4
Avery Howell,Washington,131,5,47,36,9,1,6,6,112,22.4
Sophie Hart,Minnesota,126,6,66,31,4,2,3,0,111,18.5
Laci Steele,Wisconsin,142,7,49,24,5,1,12,5,109,15.571428571428571
Hannah Stines,Washington,130,5,42,32,14,2,8,1,109,21.8
Brooke Q. Daniels,Michigan,123,6,27,26,25,0,14,0,106,17.666666666666668
Cearah Parchment,Illinois,123,5,49,35,5,1,4,7,106,21.2
Casey Harter,Northwestern,171,5,53,19,8,7,2,6,104,20.8
Hila Karsh,Purdue,173,5,57,21,11,1,2,8,103,20.6
Isaline Alexander,Michigan State,87,6,54,20,1,6,7,0,101,16.833333333333332
Ari Long,Oregon,115,6,28,19,13,5,13,4,100,16.666666666666668
Kiki Smith,Purdue,126,5,52,15,5,3,6,8,98,19.6
