,name,team,fantasy_points,past_points,daily_points
0,Mila Holloway,Michigan,48,48,0
1,Kiyomi McMiller,Penn State,47,47,0
2,Grace Sullivan,Northwestern,44,44,0
3,Berry Wallace,Illinois,43,43,0
4,Sayvia Sellers,Washington,41,41,0
5,Kennedy Blair,Michigan State,39,39,0
6,Ava Heiden,Iowa,39,39,0
7,Imani Lester,Rutgers,37,37,0
8,Tayla Thomas,Northwestern,37,37,0
9,Grace VanSlooten,Michigan State,36,36,0
10,Saylor Poffenbarger,Maryland,35,35,0
11,Shay Ciezki,Indiana,34,34,0
12,Theryn Hallock,Michigan State,34,34,0
13,Gabriela Jaquez,UCLA,34,34,0
14,Destiny Howell,Wisconsin,33,33,0
15,Makena Christian,Minnesota,33,33,0
16,Hannah Stuelke,Iowa,33,33,0
17,Olivia Olson,Michigan,32,32,0
18,Zachara Perkins,Rutgers,32,32,0
19,Gracie Merkle,Penn State,31,31,0
20,Xamiya Walton,Northwestern,31,31,0
21,Claire Johnson,Nebraska,31,31,0
22,Kaylah Ivey,Rutgers,30,30,0
23,Gretchen Dolan,Illinois,30,30,0
24,Brooke Q. Daniels,Michigan,30,30,0
25,Mia Jacobs,Oregon,30,30,0
26,Te'Yala Delfosse,Michigan,29,29,0
27,Britt Prince,Nebraska,28,28,0
28,Zania Socka-Nguemen,Indiana,28,28,0
29,Madison Layden-Zay,Purdue,28,28,0
30,Oluchi Okananwa,Maryland,27,27,0
31,Jazzy Davidson,USC,27,27,0
32,Charlisse Leger-Walker,UCLA,27,27,0
33,Kara Dunn,USC,27,27,0
34,Kiki Smith,Purdue,27,27,0
35,Rashunda Jones,Michigan State,27,27,0
36,Elisa Mevius,Oregon,27,27,0
37,Emily Fisher,Nebraska,26,26,0
38,Gianna Kneepkens,UCLA,26,26,0
39,Londynn Jones,USC,26,26,0
40,Kyrah Daniels,Wisconsin,26,26,0
41,Katie Fiso,Oregon,26,26,0
42,Jalyn Brown,Michigan State,26,26,0
43,Avery Howell,Washington,26,26,0
44,Lauren Betts,UCLA,26,26,0
45,Emma Shumate,Michigan State,26,26,0
46,Dorja Iva Zaja,Wisconsin,26,26,0
47,Amy Terrian,Michigan State,25,25,0
48,Sophie Hart,Minnesota,25,25,0
49,Tara Daye,Purdue,25,25,0
50,Emely Rodriguez,Iowa,24,24,0
51,Kennedy Smith,USC,24,24,0
52,Callin Hake,Nebraska,24,24,0
53,Lana McCarthy,Purdue,24,24,0
54,Jessica Petrie,Nebraska,23,23,0
55,Hila Karsh,Purdue,23,23,0
56,Ari Long,Oregon,23,23,0
57,Viktoria Ranisavljevic,Penn State,23,23,0
58,Casey Harter,Northwestern,22,22,0
59,Isaline Alexander,Michigan State,22,22,0
60,Ashley Sofilkanich,Michigan,22,22,0
