name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,887,28,648,160,124,8,56,34,1094,39.07142857142857
Jazzy Davidson,USC,933,27,485,168,119,59,54,47,1045,38.7037037037037
Kiyomi McMiller,Penn State,893,27,583,139,121,8,49,34,991,36.7037037037037
Shay Ciezki,Indiana,947,27,624,103,78,4,40,71,964,35.7037037037037
Sayvia Sellers,Washington,873,28,529,72,100,22,45,66,901,32.17857142857143
Olivia Olson,Michigan,825,27,509,163,69,12,48,30,891,33.0
Lauren Betts,UCLA,692,26,433,218,79,53,24,0,884,34.0
Kennedy Blair,Michigan State,792,27,377,194,147,11,62,10,874,32.370370370370374
Oluchi Okananwa,Maryland,752,28,487,156,62,6,63,24,867,30.964285714285715
Britt Prince,Nebraska,908,28,489,110,119,8,43,35,855,30.535714285714285
Grace Sullivan,Northwestern,870,26,562,162,28,22,29,0,854,32.84615384615385
Kiki Rice,UCLA,815,27,416,175,121,13,43,27,851,31.51851851851852
Ava Heiden,Iowa,686,27,466,206,45,30,34,0,845,31.296296296296298
Avery Howell,Washington,940,28,381,235,37,13,39,70,827,29.535714285714285
Berry Wallace,Illinois,940,27,508,175,49,10,15,39,821,30.40740740740741
Katie Fiso,Oregon,921,29,418,104,192,7,40,9,817,28.17241379310345
Grace VanSlooten,Michigan State,757,27,411,177,58,27,52,1,805,29.814814814814813
Cearah Parchment,Illinois,748,27,366,231,38,13,48,29,786,29.11111111111111
Kara Dunn,USC,860,27,420,145,58,10,36,57,772,28.59259259259259
Gracie Merkle,Penn State,637,24,463,200,30,28,6,0,761,31.708333333333332
Kennedy Cambridge,Ohio State,795,28,254,126,90,21,112,25,761,27.178571428571427
Hannah Stuelke,Iowa,769,26,357,231,74,9,34,2,750,28.846153846153847
Mia Jacobs,Oregon,764,28,375,155,49,14,38,56,739,26.392857142857142
Ehis Etute,Oregon,625,28,325,240,39,21,37,1,721,25.75
Yarden Garzon,Maryland,898,28,366,110,85,7,32,81,720,25.714285714285715
Mila Holloway,Michigan,774,27,346,109,125,6,46,34,718,26.59259259259259
Saylor Poffenbarger,Maryland,769,26,272,179,86,18,50,43,716,27.53846153846154
Caroline Lau,Northwestern,914,27,228,145,228,5,27,35,700,25.925925925925927
Syla Swords,Michigan,852,26,369,101,64,6,44,62,696,26.76923076923077
Amaya Battle,Minnesota,814,27,289,201,103,9,33,10,687,25.444444444444443
Kyrah Daniels,Wisconsin,820,27,346,132,66,7,35,53,681,25.22222222222222
Gabriela Jaquez,UCLA,805,27,378,146,55,4,28,37,680,25.185185185185187
Lenée Beaumont,Indiana,970,28,377,135,86,1,19,41,679,24.25
Grace Grocholski,Minnesota,886,27,347,129,75,4,26,62,673,24.925925925925927
Tara Daye,Purdue,754,27,327,177,68,8,33,12,666,24.666666666666668
Mara Braun,Minnesota,882,27,324,117,65,19,36,47,663,24.555555555555557
Gianna Kneepkens,UCLA,750,27,356,91,82,4,30,65,662,24.51851851851852
Chance Gray,Ohio State,871,28,399,75,76,0,23,63,659,23.535714285714285
Elsa Lemmilä,Ohio State,681,27,242,179,50,62,27,2,651,24.11111111111111
Rashunda Jones,Michigan State,744,26,318,92,95,2,60,19,648,24.923076923076923
Kennedy Smith,USC,771,24,268,109,91,30,45,21,639,26.625
