name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Shay Ciezki,Indiana,489,14,332,51,45,2,19,33,503,35.92857142857143
Jazzy Davidson,USC,425,13,218,88,48,35,25,21,495,38.07692307692308
Jaloni Cambridge,Ohio State,364,13,259,69,47,3,30,6,447,34.38461538461539
Grace Sullivan,Northwestern,394,12,276,94,14,12,17,0,442,36.833333333333336
Kiyomi McMiller,Penn State,411,13,238,68,60,3,27,10,436,33.53846153846154
Mia Jacobs,Oregon,411,15,216,94,24,4,29,30,430,28.666666666666668
Katie Fiso,Oregon,448,15,228,43,109,4,18,5,429,28.6
Sayvia Sellers,Washington,373,13,249,32,45,11,21,37,427,32.84615384615385
Gracie Merkle,Penn State,336,13,256,109,20,17,3,0,425,32.69230769230769
Oluchi Okananwa,Maryland,345,14,230,75,31,5,30,11,417,29.785714285714285
Kiki Rice,UCLA,386,13,199,92,51,9,21,11,413,31.76923076923077
Britt Prince,Nebraska,395,13,241,47,58,4,17,18,406,31.23076923076923
Kennedy Blair,Michigan State,332,13,163,96,76,6,27,5,406,31.23076923076923
Lauren Betts,UCLA,342,12,185,98,38,27,10,0,395,32.916666666666664
Nene Ndiaye,Rutgers,422,13,211,79,22,5,23,14,382,29.384615384615383
Ava Heiden,Iowa,302,13,202,102,22,14,13,0,380,29.23076923076923
Olivia Olson,Michigan,325,12,219,65,25,4,24,13,378,31.5
Berry Wallace,Illinois,420,13,229,93,21,1,7,14,373,28.692307692307693
Avery Howell,Washington,391,13,171,95,18,6,18,34,366,28.153846153846153
Lenée Beaumont,Indiana,459,14,213,64,43,0,9,27,365,26.071428571428573
Hannah Stuelke,Iowa,346,13,175,109,32,2,17,2,356,27.384615384615383
Yarden Garzon,Maryland,404,14,179,59,41,2,17,39,356,25.428571428571427
Gabriela Jaquez,UCLA,388,13,191,80,29,1,13,28,356,27.384615384615383
Grace VanSlooten,Michigan State,314,13,182,66,22,13,28,1,353,27.153846153846153
Gianna Kneepkens,UCLA,362,13,183,52,42,3,17,34,351,27.0
Kennedy Cambridge,Ohio State,331,13,102,56,47,10,57,7,346,26.615384615384617
Saylor Poffenbarger,Maryland,328,12,139,73,34,8,29,25,345,28.75
Syla Swords,Michigan,365,12,173,63,30,5,20,28,344,28.666666666666668
Cearah Parchment,Illinois,321,13,144,103,16,5,29,10,341,26.23076923076923
Gretchen Dolan,Illinois,392,13,194,45,42,5,16,13,336,25.846153846153847
Tayla Thomas,Northwestern,342,13,148,116,13,20,8,2,335,25.76923076923077
Kyrah Daniels,Wisconsin,367,13,161,62,32,5,19,29,332,25.53846153846154
Caroline Lau,Northwestern,433,13,98,71,120,2,11,15,330,25.384615384615383
Kennedy Smith,USC,413,13,136,61,48,14,24,9,330,25.384615384615383
Mila Holloway,Michigan,331,12,149,42,62,3,27,15,328,27.333333333333332
Grace Grocholski,Minnesota,392,13,167,63,40,4,9,31,327,25.153846153846153
Charlisse Leger-Walker,UCLA,361,13,117,48,84,4,26,15,324,24.923076923076923
Tara Daye,Purdue,323,13,159,92,26,4,15,7,322,24.76923076923077
Rashunda Jones,Michigan State,339,13,152,38,53,1,34,9,322,24.76923076923077
Mara Braun,Minnesota,394,13,142,51,38,10,25,18,319,24.53846153846154
Amaya Battle,Minnesota,382,13,109,102,51,4,18,4,310,23.846153846153847
Imani Lester,Rutgers,310,13,136,79,15,16,18,3,301,23.153846153846153
Kara Dunn,USC,384,13,149,65,23,4,18,20,301,23.153846153846153
Jessica Petrie,Nebraska,297,13,154,65,19,13,12,12,300,23.076923076923077
Angela Dugalić,UCLA,322,13,141,80,16,9,16,12,299,23.0
Madison Layden-Zay,Purdue,418,13,125,49,37,6,23,28,297,22.846153846153847
Kylee Kitts,Ohio State,282,13,122,94,14,17,13,4,294,22.615384615384617
Moriah Murray,Penn State,414,13,133,48,33,2,17,38,290,22.307692307692307
Amiah Hargrove,Nebraska,285,13,156,83,12,3,13,7,290,22.307692307692307
Ehis Etute,Oregon,253,14,117,103,14,8,19,0,288,20.571428571428573
Isimenme Ozzy-Momodu,Maryland,246,14,117,81,12,20,15,0,280,20.0
Te'Yala Delfosse,Michigan,240,12,137,78,15,11,8,10,278,23.166666666666668
Tea Cleante,Penn State,366,12,132,28,36,3,26,20,274,22.833333333333332
Destiny Jackson,Illinois,382,13,103,53,66,1,23,4,274,21.076923076923077
Callin Hake,Nebraska,343,13,113,36,63,1,19,20,272,20.923076923076923
Tori McKinney,Minnesota,269,11,145,28,26,6,24,11,270,24.545454545454547
Kiki Smith,Purdue,342,13,152,30,33,3,14,21,270,20.76923076923077
Chance Gray,Ohio State,343,13,156,37,40,0,9,18,269,20.692307692307693
Zachara Perkins,Rutgers,395,12,126,67,15,11,13,11,267,22.25
Sofia Bell,Oregon,427,15,107,40,17,13,26,25,267,17.8
Londynn Jones,USC,303,13,162,19,23,2,17,24,266,20.46153846153846
Addi Mack,Maryland,313,12,146,42,34,1,16,7,263,21.916666666666668
Kaylah Ivey,Rutgers,458,13,116,38,47,1,17,23,260,20.0
Destiny Howell,Wisconsin,311,12,153,43,12,3,10,24,258,21.5
Ari Long,Oregon,339,15,93,52,24,11,28,11,258,17.2
Taylor Stremlow,Iowa,262,13,101,40,48,8,17,16,255,19.615384615384617
Maddie Webber,Illinois,299,13,149,32,24,4,6,23,248,19.076923076923077
Taylor McCabe,Iowa,361,13,114,50,33,2,6,35,248,19.076923076923077
Hila Karsh,Purdue,392,13,136,31,37,1,10,21,247,19.0
Gift Uchenna,Wisconsin,209,13,89,85,6,20,13,0,246,18.923076923076923
Jalyn Brown,Michigan State,279,13,128,43,23,6,15,8,244,18.76923076923077
Sophie Hart,Minnesota,293,13,125,88,7,3,8,0,242,18.615384615384617
Ronnie Porter,Wisconsin,341,13,84,54,58,0,18,8,240,18.46153846153846
Brylee Glenn,Minnesota,312,13,117,47,28,4,16,7,239,18.384615384615383
Chazadi Wright,Iowa,263,10,121,20,37,1,14,23,231,23.1
Brynn McGaughy,Washington,232,13,107,65,12,19,3,1,229,17.615384615384617
Isaline Alexander,Michigan State,199,13,125,53,4,11,12,0,228,17.53846153846154
Lana McCarthy,Purdue,224,13,106,68,14,8,12,0,228,17.53846153846154
Ava Watson,Ohio State,262,13,94,28,32,3,29,9,227,17.46153846153846
Tate Lash,Northwestern,338,13,98,44,44,4,12,6,224,17.23076923076923
Ashley Sofilkanich,Michigan,195,12,117,47,7,12,13,0,221,18.416666666666668
Nevaeh Caffey,Indiana,391,14,99,42,29,3,18,8,220,15.714285714285714
Brooke Q. Daniels,Michigan,246,12,66,54,38,4,24,0,214,17.833333333333332
Petra Bozan,Nebraska,214,13,113,56,4,7,11,4,213,16.384615384615383
Hannah Stines,Washington,304,13,83,54,31,5,14,6,212,16.307692307692307
Elsa Lemmilä,Ohio State,218,12,80,62,13,17,8,1,206,17.166666666666668
Sarah Rambus,Oregon,242,15,112,45,10,5,10,0,197,13.133333333333333
Casey Harter,Northwestern,337,10,97,33,16,11,5,16,194,19.4
Edessa Noyan,Indiana,282,14,76,73,7,6,8,3,187,13.357142857142858
Emma Shumate,Michigan State,230,13,93,29,9,4,9,29,186,14.307692307692308
Amina Muhammad,Oregon,240,15,87,52,9,3,16,0,186,12.4
T'yana Todd,Ohio State,249,13,108,26,10,1,11,16,184,14.153846153846153
Kyndal Walker,Maryland,250,13,74,29,35,1,21,1,183,14.076923076923077
Hailey Weaver,Nebraska,234,13,60,36,19,8,21,8,181,13.923076923076923
Zania Socka-Nguemen,Indiana,190,7,91,63,9,3,5,0,179,25.571428571428573
Logan Nissley,Nebraska,191,11,82,30,28,2,7,21,179,16.272727272727273
Antonia Bates,Rutgers,322,13,34,67,29,6,16,4,178,13.692307692307692
Laci Steele,Wisconsin,245,13,78,41,9,4,16,8,176,13.538461538461538
Xamiya Walton,Northwestern,325,13,97,23,18,2,8,18,176,13.538461538461538
Kylie Feuerbach,Iowa,268,12,63,21,38,5,15,10,172,14.333333333333334
Breauna Ware,Wisconsin,260,13,91,22,20,2,12,10,171,13.153846153846153
Theryn Hallock,Michigan State,169,8,85,13,22,2,18,11,171,21.375
Journey Houston,Iowa,182,13,62,69,17,1,10,0,170,13.076923076923077
Layla Hays,Iowa,182,13,92,48,10,5,5,0,170,13.076923076923077
Eliza Maupin,Nebraska,180,10,86,40,13,7,7,2,169,16.9
Bryn Martin,Ohio State,222,13,72,24,20,3,16,12,166,12.76923076923077
Maya Makalusky,Indiana,275,14,80,40,7,1,9,17,164,11.714285714285714
Jasmine Brown-Hagger,Illinois,305,13,78,25,19,1,16,4,160,12.307692307692308
