name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Shay Ciezki,Indiana,273,8,194,36,22,2,11,20,298,37.25
Jazzy Davidson,USC,251,8,128,51,34,19,15,12,293,36.625
Kiki Rice,UCLA,271,9,138,66,29,8,11,8,279,31.0
Nene Ndiaye,Rutgers,297,9,152,56,16,3,18,11,277,30.77777777777778
Sayvia Sellers,Washington,221,8,153,25,31,9,14,17,272,34.0
Kiyomi McMiller,Penn State,225,7,137,43,42,3,19,5,271,38.714285714285715
Grace Sullivan,Northwestern,243,7,158,68,9,8,8,0,267,38.142857142857146
Gracie Merkle,Penn State,181,7,161,62,17,10,2,0,264,37.714285714285715
Gabriela Jaquez,UCLA,283,9,140,58,23,1,9,17,258,28.666666666666668
Ava Heiden,Iowa,196,8,128,79,11,9,9,0,254,31.75
Katie Fiso,Oregon,250,9,133,21,65,4,11,2,251,27.88888888888889
Kennedy Blair,Michigan State,187,8,101,54,49,3,18,4,250,31.25
Saylor Poffenbarger,Maryland,236,9,89,53,27,5,25,19,248,27.555555555555557
Grace VanSlooten,Michigan State,193,8,126,42,17,9,21,0,245,30.625
Mia Jacobs,Oregon,236,9,123,47,14,4,19,15,245,27.22222222222222
Jaloni Cambridge,Ohio State,201,7,139,40,23,1,14,4,236,33.714285714285715
Gianna Kneepkens,UCLA,259,9,125,32,33,3,8,22,234,26.0
Kyrah Daniels,Wisconsin,256,9,119,45,23,3,11,19,234,26.0
Britt Prince,Nebraska,206,7,154,26,26,1,7,10,232,33.142857142857146
Lauren Betts,UCLA,238,8,106,56,28,16,5,0,232,29.0
Berry Wallace,Illinois,253,8,146,53,16,1,3,9,232,29.0
Charlisse Leger-Walker,UCLA,259,9,95,31,55,3,16,12,231,25.666666666666668
Imani Lester,Rutgers,227,9,101,60,13,13,13,3,229,25.444444444444443
Oluchi Okananwa,Maryland,224,9,120,43,22,4,12,7,224,24.88888888888889
Zachara Perkins,Rutgers,300,9,107,52,14,9,10,11,222,24.666666666666668
Angela Dugalić,UCLA,245,9,100,59,9,7,13,10,218,24.22222222222222
Rashunda Jones,Michigan State,205,8,94,18,40,1,27,4,212,26.5
Hannah Stuelke,Iowa,214,8,100,67,17,1,12,2,212,26.5
