name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Shay Ciezki,Indiana,607,17,396,57,54,2,24,36,595,35.0
Jaloni Cambridge,Ohio State,465,16,332,85,64,6,39,11,582,36.375
Jazzy Davidson,USC,496,15,242,103,54,40,27,25,558,37.2
Grace Sullivan,Northwestern,494,15,338,108,16,15,22,0,536,35.733333333333334
Kiyomi McMiller,Penn State,514,16,302,83,70,3,28,14,531,33.1875
Britt Prince,Nebraska,501,16,305,59,69,6,23,25,516,32.25
Sayvia Sellers,Washington,463,16,297,43,52,12,28,41,513,32.0625
Oluchi Okananwa,Maryland,435,17,286,85,37,5,37,15,507,29.823529411764707
Kennedy Blair,Michigan State,431,16,216,116,93,7,30,6,505,31.5625
Katie Fiso,Oregon,516,17,259,53,121,5,23,5,494,29.058823529411764
Olivia Olson,Michigan,449,16,286,87,33,6,29,16,492,30.75
Gracie Merkle,Penn State,406,16,301,122,21,19,4,0,490,30.625
Mia Jacobs,Oregon,462,17,243,103,33,6,31,37,490,28.823529411764707
Berry Wallace,Illinois,534,16,290,110,26,5,8,22,474,29.625
Lauren Betts,UCLA,397,14,228,117,44,30,12,0,473,33.785714285714285
Kiki Rice,UCLA,443,15,229,98,66,10,21,12,467,31.133333333333333
Avery Howell,Washington,497,16,216,123,20,7,21,40,455,28.4375
Grace VanSlooten,Michigan State,402,16,232,97,28,15,32,1,452,28.25
Ava Heiden,Iowa,346,15,243,114,26,16,15,0,445,29.666666666666668
Nene Ndiaye,Rutgers,505,16,240,89,27,5,27,17,437,27.3125
Yarden Garzon,Maryland,504,17,222,71,53,3,17,48,434,25.529411764705884
Kyrah Daniels,Wisconsin,495,17,218,80,39,6,24,36,433,25.470588235294116
Kennedy Cambridge,Ohio State,418,16,131,73,58,14,66,9,431,26.9375
Cearah Parchment,Illinois,416,16,187,124,20,9,33,11,426,26.625
Lenée Beaumont,Indiana,569,17,238,78,52,1,12,31,425,25.0
