name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,929,29,670,164,133,8,56,36,1131,39.0
Jazzy Davidson,USC,972,28,507,169,124,60,57,50,1084,38.714285714285715
Kiyomi McMiller,Penn State,932,28,623,143,127,8,52,41,1054,37.642857142857146
Shay Ciezki,Indiana,987,28,645,104,80,4,41,75,994,35.5
Olivia Olson,Michigan,866,28,540,172,73,12,49,32,939,33.535714285714285
Lauren Betts,UCLA,723,27,452,232,84,54,27,0,930,34.44444444444444
Kennedy Blair,Michigan State,828,28,395,202,153,11,67,10,916,32.714285714285715
Oluchi Okananwa,Maryland,780,29,512,161,63,7,67,24,908,31.310344827586206
Sayvia Sellers,Washington,873,28,529,72,100,22,45,66,901,32.17857142857143
Grace Sullivan,Northwestern,906,27,585,167,28,22,29,0,882,32.666666666666664
Kiki Rice,UCLA,843,28,429,177,125,13,44,29,874,31.214285714285715
Britt Prince,Nebraska,908,28,489,110,119,8,43,35,855,30.535714285714285
Katie Fiso,Oregon,952,30,437,107,196,7,42,9,847,28.233333333333334
Ava Heiden,Iowa,686,27,466,206,45,30,34,0,845,31.296296296296298
Avery Howell,Washington,940,28,381,235,37,13,39,70,827,29.535714285714285
Grace VanSlooten,Michigan State,784,28,421,183,61,27,52,1,824,29.428571428571427
Berry Wallace,Illinois,940,27,508,175,49,10,15,39,821,30.40740740740741
Kara Dunn,USC,896,28,444,151,61,10,37,63,813,29.035714285714285
Cearah Parchment,Illinois,748,27,366,231,38,13,48,29,786,29.11111111111111
Kennedy Cambridge,Ohio State,823,29,262,130,95,21,115,26,785,27.06896551724138
Gracie Merkle,Penn State,670,25,478,203,31,28,6,0,780,31.2
Ehis Etute,Oregon,659,29,342,248,42,21,39,1,753,25.96551724137931
Hannah Stuelke,Iowa,769,26,357,231,74,9,34,2,750,28.846153846153847
Saylor Poffenbarger,Maryland,801,27,277,192,90,18,53,44,745,27.59259259259259
Yarden Garzon,Maryland,923,29,377,115,86,8,32,82,740,25.517241379310345
Mia Jacobs,Oregon,764,28,375,155,49,14,38,56,739,26.392857142857142
Syla Swords,Michigan,894,27,391,108,68,6,44,66,733,27.14814814814815
Mila Holloway,Michigan,792,28,352,110,127,6,46,36,729,26.035714285714285
Caroline Lau,Northwestern,947,28,237,154,232,5,27,36,723,25.821428571428573
Amaya Battle,Minnesota,847,28,300,208,104,9,35,10,710,25.357142857142858
Gabriela Jaquez,UCLA,839,28,395,153,56,4,29,39,709,25.321428571428573
Grace Grocholski,Minnesota,924,28,353,137,79,5,29,63,700,25.0
Lenée Beaumont,Indiana,1007,29,389,136,90,1,20,43,700,24.137931034482758
Kyrah Daniels,Wisconsin,846,28,351,134,69,9,36,54,698,24.928571428571427
Tara Daye,Purdue,790,28,342,186,69,8,34,12,693,24.75
Elsa Lemmilä,Ohio State,713,28,253,194,53,62,29,2,684,24.428571428571427
Chance Gray,Ohio State,915,29,418,76,77,0,24,64,683,23.551724137931036
