name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,1094,34,772,189,153,13,65,44,1314,38.64705882352941
Jazzy Davidson,USC,1073,31,558,177,130,61,63,55,1168,37.67741935483871
Shay Ciezki,Indiana,1100,31,708,119,95,5,48,79,1107,35.70967741935484
Lauren Betts,UCLA,859,32,529,278,101,60,35,0,1098,34.3125
Olivia Olson,Michigan,993,32,606,200,81,15,57,35,1066,33.3125
Kiyomi McMiller,Penn State,961,29,627,144,130,8,53,41,1064,36.689655172413794
Ava Heiden,Iowa,840,33,586,240,51,42,39,0,1039,31.484848484848484
Oluchi Okananwa,Maryland,887,33,586,178,67,8,74,24,1019,30.87878787878788
Kiki Rice,UCLA,1007,33,508,199,149,14,50,32,1016,30.78787878787879
Sayvia Sellers,Washington,1015,32,576,90,125,25,51,71,1014,31.6875
Britt Prince,Nebraska,1038,32,572,131,142,16,47,42,1013,31.65625
Kennedy Blair,Michigan State,926,31,450,218,164,14,70,12,1012,32.645161290322584
Katie Fiso,Oregon,1121,35,542,122,219,9,47,11,1006,28.742857142857144
Berry Wallace,Illinois,1173,33,608,203,59,12,21,48,984,29.818181818181817
Avery Howell,Washington,1088,32,454,265,44,13,45,82,961,30.03125
Cearah Parchment,Illinois,946,33,451,277,48,15,57,35,955,28.939393939393938
Grace VanSlooten,Michigan State,882,31,469,209,71,31,59,1,930,30.0
Ehis Etute,Oregon,801,34,426,305,50,29,44,1,928,27.294117647058822
Kennedy Cambridge,Ohio State,983,34,308,161,113,22,130,29,915,26.91176470588235
Grace Sullivan,Northwestern,945,28,599,172,30,23,30,0,907,32.392857142857146
Hannah Stuelke,Iowa,926,31,414,270,88,12,39,2,876,28.258064516129032
Kara Dunn,USC,996,31,480,159,63,11,38,70,870,28.06451612903226
Mila Holloway,Michigan,918,32,403,126,152,7,52,44,843,26.34375
Syla Swords,Michigan,1041,31,447,131,75,6,50,76,841,27.129032258064516
Elsa Lemmilä,Ohio State,863,33,300,245,72,75,32,2,833,25.242424242424242
Chance Gray,Ohio State,1086,34,504,86,93,0,28,85,824,24.235294117647058
Yarden Garzon,Maryland,1064,33,412,131,99,12,35,88,824,24.96969696969697
Saylor Poffenbarger,Maryland,927,31,295,223,100,20,60,46,824,26.580645161290324
Mia Jacobs,Oregon,891,33,416,176,55,14,42,62,821,24.87878787878788
Gabriela Jaquez,UCLA,986,33,452,177,66,4,37,44,821,24.87878787878788
Gracie Merkle,Penn State,695,26,500,213,35,28,6,0,816,31.384615384615383
Kyrah Daniels,Wisconsin,977,32,402,168,82,9,39,62,810,25.3125
Gianna Kneepkens,UCLA,928,33,435,106,99,5,36,77,799,24.21212121212121
Amaya Battle,Minnesota,957,31,347,229,110,9,37,13,791,25.516129032258064
Charlisse Leger-Walker,UCLA,921,33,293,138,185,10,54,46,790,23.939393939393938
Grace Grocholski,Minnesota,1041,31,380,158,91,5,33,66,771,24.870967741935484
Lenée Beaumont,Indiana,1108,32,427,153,95,1,22,47,768,24.0
Destiny Jackson,Illinois,1033,33,333,139,173,6,50,11,768,23.272727272727273
Caroline Lau,Northwestern,987,29,256,159,245,5,28,41,767,26.448275862068964
Mara Braun,Minnesota,1038,31,360,135,79,21,41,55,753,24.29032258064516
Tara Daye,Purdue,858,30,371,196,73,9,37,15,747,24.9
Kennedy Smith,USC,912,28,324,124,103,31,54,25,746,26.642857142857142
Chazadi Wright,Iowa,1014,30,366,88,135,2,37,67,734,24.466666666666665
Destiny Howell,Wisconsin,907,31,438,90,41,10,22,69,702,22.64516129032258
