name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,962,30,703,169,136,9,58,43,1185,39.5
Jazzy Davidson,USC,972,28,507,169,124,60,57,50,1084,38.714285714285715
Kiyomi McMiller,Penn State,961,29,627,144,130,8,53,41,1064,36.689655172413794
Shay Ciezki,Indiana,1023,29,674,109,83,5,45,78,1044,36.0
Olivia Olson,Michigan,900,29,568,180,77,13,52,35,990,34.13793103448276
Sayvia Sellers,Washington,913,29,558,77,105,22,46,70,946,32.62068965517241
Kennedy Blair,Michigan State,858,29,402,206,157,11,70,10,937,32.310344827586206
Oluchi Okananwa,Maryland,814,30,531,165,66,7,68,24,936,31.2
Lauren Betts,UCLA,723,27,452,232,84,54,27,0,930,34.44444444444444
Ava Heiden,Iowa,735,29,510,224,46,32,36,0,916,31.586206896551722
Grace Sullivan,Northwestern,945,28,599,172,30,23,30,0,907,32.392857142857146
Britt Prince,Nebraska,938,29,503,121,127,10,45,36,897,30.93103448275862
Katie Fiso,Oregon,989,31,464,112,199,7,43,10,885,28.548387096774192
Berry Wallace,Illinois,1018,29,544,186,53,10,16,45,880,30.344827586206897
Kiki Rice,UCLA,843,28,429,177,125,13,44,29,874,31.214285714285715
Grace VanSlooten,Michigan State,815,29,438,190,66,30,54,1,863,29.75862068965517
Cearah Parchment,Illinois,813,29,399,251,43,13,51,32,853,29.413793103448278
Avery Howell,Washington,980,29,388,243,40,13,42,71,852,29.379310344827587
Kennedy Cambridge,Ohio State,861,30,272,138,103,21,120,26,821,27.366666666666667
Gracie Merkle,Penn State,695,26,500,213,35,28,6,0,816,31.384615384615383
Kara Dunn,USC,896,28,444,151,61,10,37,63,813,29.035714285714285
Ehis Etute,Oregon,693,30,363,261,44,22,41,1,795,26.5
Hannah Stuelke,Iowa,800,27,375,236,78,10,36,2,783,29.0
Yarden Garzon,Maryland,962,30,391,119,89,10,33,86,771,25.7
Caroline Lau,Northwestern,987,29,256,159,245,5,28,41,767,26.448275862068964
Syla Swords,Michigan,932,28,408,113,72,6,44,68,761,27.178571428571427
Mila Holloway,Michigan,822,29,364,112,133,7,47,38,755,26.03448275862069
Saylor Poffenbarger,Maryland,824,28,277,196,92,18,53,44,751,26.821428571428573
Mia Jacobs,Oregon,781,29,379,156,50,14,39,56,747,25.75862068965517
Amaya Battle,Minnesota,878,29,316,216,105,9,35,10,735,25.344827586206897
Lenée Beaumont,Indiana,1041,30,407,143,94,1,20,44,730,24.333333333333332
Tara Daye,Purdue,825,29,360,194,70,8,36,13,725,25.0
Grace Grocholski,Minnesota,963,29,362,143,82,5,29,64,719,24.79310344827586
Kyrah Daniels,Wisconsin,873,29,359,142,70,9,36,56,717,24.724137931034484
Chance Gray,Ohio State,951,30,439,79,80,0,24,71,717,23.9
Elsa Lemmilä,Ohio State,746,29,264,204,56,65,29,2,714,24.620689655172413
Gabriela Jaquez,UCLA,839,28,395,153,56,4,29,39,709,25.321428571428573
Mara Braun,Minnesota,959,29,338,125,72,20,40,50,705,24.310344827586206
Gianna Kneepkens,UCLA,780,28,369,93,83,4,31,67,682,24.357142857142858
Nene Ndiaye,Rutgers,819,26,384,137,40,6,37,32,679,26.115384615384617
Kennedy Smith,USC,808,25,287,115,95,31,47,24,677,27.08
Rashunda Jones,Michigan State,772,28,336,93,97,2,60,23,673,24.035714285714285
Charlisse Leger-Walker,UCLA,771,28,242,117,159,8,46,37,663,23.678571428571427
Chazadi Wright,Iowa,865,26,323,71,121,2,37,61,654,25.153846153846153
Tori McKinney,Minnesota,697,25,339,80,67,14,50,30,644,25.76
Destiny Jackson,Illinois,899,29,272,112,151,4,46,9,644,22.20689655172414
Tayla Thomas,Northwestern,705,29,280,210,27,34,17,7,626,21.586206896551722
Destiny Howell,Wisconsin,807,28,396,84,30,8,19,62,626,22.357142857142858
Jessica Petrie,Nebraska,618,27,312,126,33,28,28,26,609,22.555555555555557
Gift Uchenna,Wisconsin,527,29,243,200,25,42,27,1,607,20.93103448275862
Amiah Hargrove,Nebraska,661,28,356,153,20,9,19,22,607,21.678571428571427
Madison Layden-Zay,Purdue,868,25,256,92,83,13,43,56,599,23.96
Sophie Hart,Minnesota,665,29,315,179,32,16,18,0,594,20.482758620689655
Imani Lester,Rutgers,607,26,280,138,34,29,28,11,577,22.192307692307693
Kiki Smith,Purdue,759,29,318,66,62,5,35,49,575,19.82758620689655
Ronnie Porter,Wisconsin,877,29,188,123,135,4,47,26,574,19.79310344827586
Angela Dugalić,UCLA,650,28,256,145,55,14,30,24,568,20.285714285714285
Sofia Bell,Oregon,953,31,222,83,55,20,53,55,561,18.096774193548388
Brooke Q. Daniels,Michigan,733,29,170,152,85,8,69,0,561,19.344827586206897
Moriah Murray,Penn State,922,29,273,90,61,3,27,76,560,19.310344827586206
Zachara Perkins,Rutgers,807,25,284,120,38,18,30,21,559,22.36
Taylor Stremlow,Iowa,673,29,235,78,118,11,34,36,557,19.20689655172414
Ari Long,Oregon,764,31,200,115,53,13,62,30,548,17.677419354838708
Kaylah Ivey,Rutgers,1015,29,236,79,103,2,36,52,546,18.82758620689655
Addi Mack,Maryland,757,28,307,85,65,4,30,21,546,19.5
