name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,652,21,459,117,95,7,48,26,807,38.42857142857143
Shay Ciezki,Indiana,753,21,496,65,57,4,30,54,740,35.23809523809524
Jazzy Davidson,USC,678,20,320,127,79,49,36,34,730,36.5
Kiyomi McMiller,Penn State,693,22,417,107,95,4,35,23,720,32.72727272727273
Lauren Betts,UCLA,549,20,329,166,59,45,23,0,690,34.5
Sayvia Sellers,Washington,631,21,404,55,75,17,33,52,686,32.666666666666664
Grace Sullivan,Northwestern,671,20,435,133,25,17,25,0,677,33.85
Kiki Rice,UCLA,637,21,314,139,98,13,36,19,668,31.80952380952381
Britt Prince,Nebraska,665,21,386,78,91,7,32,30,663,31.571428571428573
Berry Wallace,Illinois,734,21,406,144,38,9,13,30,662,31.523809523809526
Katie Fiso,Oregon,720,23,351,70,159,6,31,7,661,28.73913043478261
Oluchi Okananwa,Maryland,595,22,365,123,41,5,45,19,648,29.454545454545453
Gracie Merkle,Penn State,513,20,386,156,26,24,6,0,628,31.4
Olivia Olson,Michigan,583,20,361,113,45,6,37,20,625,31.25
Mia Jacobs,Oregon,629,23,323,127,42,9,33,49,625,27.17391304347826
Kennedy Blair,Michigan State,562,20,266,139,108,9,41,7,620,31.0
Avery Howell,Washington,677,21,276,171,30,8,31,51,606,28.857142857142858
Ava Heiden,Iowa,491,20,327,154,32,22,22,0,601,30.05
Hannah Stuelke,Iowa,585,20,286,179,57,8,27,2,594,29.7
Grace VanSlooten,Michigan State,525,20,303,125,36,18,39,1,579,28.95
Kara Dunn,USC,638,20,307,102,40,6,33,44,571,28.55
Kennedy Cambridge,Ohio State,563,21,183,91,74,17,85,14,566,26.952380952380953
Cearah Parchment,Illinois,556,21,265,168,23,11,35,18,566,26.952380952380953
Yarden Garzon,Maryland,689,22,294,91,66,6,19,63,564,25.636363636363637
Gabriela Jaquez,UCLA,628,21,311,121,43,3,21,33,556,26.476190476190474
Caroline Lau,Northwestern,711,21,168,117,185,5,18,26,542,25.80952380952381
Saylor Poffenbarger,Maryland,577,20,215,123,66,17,36,32,542,27.1
Gianna Kneepkens,UCLA,587,21,287,72,70,3,26,54,541,25.761904761904763
Grace Grocholski,Minnesota,681,21,288,103,55,4,16,53,539,25.666666666666668
Kyrah Daniels,Wisconsin,627,21,276,99,48,6,30,43,538,25.61904761904762
Rashunda Jones,Michigan State,571,20,259,70,75,2,53,14,528,26.4
Mila Holloway,Michigan,553,20,250,80,92,5,31,25,519,25.95
Nene Ndiaye,Rutgers,634,20,283,107,34,5,32,21,519,25.95
Syla Swords,Michigan,600,19,261,80,49,6,33,46,514,27.05263157894737
Lenée Beaumont,Indiana,712,21,285,94,62,1,17,35,512,24.38095238095238
Amaya Battle,Minnesota,630,21,201,148,80,7,31,7,512,24.38095238095238
Tayla Thomas,Northwestern,552,21,218,175,23,30,16,3,511,24.333333333333332
Charlisse Leger-Walker,UCLA,576,21,186,90,122,6,35,31,511,24.333333333333332
Mara Braun,Minnesota,667,21,236,93,50,17,33,30,509,24.238095238095237
Ehis Etute,Oregon,445,22,216,178,28,14,27,1,505,22.954545454545453
Tara Daye,Purdue,535,20,249,134,46,4,28,11,504,25.2
Madison Layden-Zay,Purdue,678,20,199,77,63,12,38,41,480,24.0
Imani Lester,Rutgers,497,21,233,118,26,26,22,7,480,22.857142857142858
Chance Gray,Ohio State,612,21,290,58,59,0,14,42,477,22.714285714285715
Jessica Petrie,Nebraska,461,20,237,99,26,21,18,17,457,22.85
Isimenme Ozzy-Momodu,Maryland,439,22,187,159,20,26,19,0,456,20.727272727272727
Destiny Howell,Wisconsin,550,20,277,66,20,6,16,46,453,22.65
Moriah Murray,Penn State,707,22,216,69,53,2,25,59,451,20.5
Elsa Lemmilä,Ohio State,472,20,165,118,38,42,20,1,446,22.3
Ari Long,Oregon,550,23,156,93,40,13,48,23,434,18.869565217391305
Destiny Jackson,Illinois,630,21,179,81,102,2,30,6,432,20.571428571428573
Amiah Hargrove,Nebraska,455,20,245,117,15,4,14,16,429,21.45
Angela Dugalić,UCLA,488,21,197,112,37,11,21,18,428,20.38095238095238
Chazadi Wright,Iowa,523,17,222,42,66,1,27,40,426,25.058823529411764
Kennedy Smith,USC,530,17,167,77,66,17,34,12,424,24.941176470588236
Tori McKinney,Minnesota,447,17,223,59,40,8,31,19,419,24.647058823529413
Sofia Bell,Oregon,664,23,167,61,33,16,43,40,419,18.217391304347824
Ronnie Porter,Wisconsin,612,21,133,94,96,4,34,17,416,19.80952380952381
Te'Yala Delfosse,Michigan,409,20,214,109,21,12,16,14,414,20.7
Gretchen Dolan,Illinois,522,17,232,61,50,7,21,15,414,24.352941176470587
Kylee Kitts,Ohio State,436,19,177,134,24,17,17,10,413,21.736842105263158
Kaylah Ivey,Rutgers,732,21,182,62,74,1,27,38,412,19.61904761904762
Callin Hake,Nebraska,580,21,175,51,83,3,30,33,408,19.428571428571427
Gift Uchenna,Wisconsin,366,21,162,135,14,29,19,1,408,19.428571428571427
Brooke Q. Daniels,Michigan,494,20,126,112,60,6,48,0,406,20.3
Tea Cleante,Penn State,624,21,192,38,64,4,37,28,404,19.238095238095237
Maddie Webber,Illinois,513,21,237,57,36,6,11,37,401,19.095238095238095
Addi Mack,Maryland,536,20,221,59,54,3,20,13,393,19.65
Sophie Hart,Minnesota,471,21,203,121,17,10,15,0,391,18.61904761904762
Hannah Stines,Washington,566,21,148,90,54,10,25,13,375,17.857142857142858
