name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Shay Ciezki,Indiana,423,12,299,47,35,2,17,29,448,37.333333333333336
Grace Sullivan,Northwestern,357,11,246,86,13,10,16,0,397,36.09090909090909
Mia Jacobs,Oregon,342,13,189,78,22,4,25,26,373,28.692307692307693
Katie Fiso,Oregon,371,13,190,34,102,4,15,5,369,28.384615384615383
Jazzy Davidson,USC,325,10,160,67,39,25,16,16,364,36.4
Kiyomi McMiller,Penn State,325,10,193,57,53,3,23,7,362,36.2
Jaloni Cambridge,Ohio State,286,10,206,53,36,2,24,5,352,35.2
Britt Prince,Nebraska,326,11,212,40,48,2,14,16,348,31.636363636363637
Sayvia Sellers,Washington,294,10,203,30,35,9,16,27,345,34.5
Kiki Rice,UCLA,326,11,168,79,40,8,15,10,343,31.181818181818183
Gracie Merkle,Penn State,259,10,210,81,18,14,2,0,341,34.1
Ava Heiden,Iowa,257,11,167,87,20,14,12,0,326,29.636363636363637
Berry Wallace,Illinois,354,11,196,79,19,1,7,12,322,29.272727272727273
Oluchi Okananwa,Maryland,302,12,180,60,24,5,20,8,322,26.833333333333332
Lauren Betts,UCLA,287,10,150,80,31,22,7,0,319,31.9
Nene Ndiaye,Rutgers,365,11,176,63,19,5,19,13,319,29.0
Lenée Beaumont,Indiana,399,12,182,58,40,0,8,20,316,26.333333333333332
Saylor Poffenbarger,Maryland,302,11,125,69,32,7,26,23,315,28.636363636363637
Kennedy Blair,Michigan State,246,10,133,68,61,5,19,4,314,31.4
Olivia Olson,Michigan,256,10,180,54,20,2,22,12,314,31.4
Gabriela Jaquez,UCLA,335,11,162,68,27,1,12,21,304,27.636363636363637
Hannah Stuelke,Iowa,292,11,144,96,25,2,16,2,303,27.545454545454547
Gianna Kneepkens,UCLA,306,11,161,37,38,3,14,29,299,27.181818181818183
Gretchen Dolan,Illinois,334,11,163,41,38,4,14,13,291,26.454545454545453
Charlisse Leger-Walker,UCLA,307,11,111,43,70,4,22,14,290,26.363636363636363
Yarden Garzon,Maryland,344,12,139,45,39,1,17,29,288,24.0
Tayla Thomas,Northwestern,291,11,120,106,10,17,8,2,288,26.181818181818183
Mila Holloway,Michigan,267,10,133,36,49,3,25,13,287,28.7
Kyrah Daniels,Wisconsin,309,11,141,52,27,4,16,25,285,25.90909090909091
Cearah Parchment,Illinois,272,11,119,88,14,4,23,9,284,25.818181818181817
Grace VanSlooten,Michigan State,237,10,146,50,19,10,24,0,283,28.3
Avery Howell,Washington,302,10,124,80,15,6,14,22,281,28.1
Syla Swords,Michigan,287,10,137,53,24,3,18,21,277,27.7
Grace Grocholski,Minnesota,326,11,141,48,36,4,7,29,276,25.09090909090909
Kennedy Cambridge,Ohio State,259,10,82,42,34,9,46,5,273,27.3
Mara Braun,Minnesota,330,11,119,44,35,10,19,15,271,24.636363636363637
Caroline Lau,Northwestern,361,11,76,57,104,2,8,12,269,24.454545454545453
Jessica Petrie,Nebraska,243,11,129,59,18,12,9,12,260,23.636363636363637
Tara Daye,Purdue,268,11,128,79,19,2,12,6,260,23.636363636363637
Rashunda Jones,Michigan State,264,10,115,26,47,1,31,6,258,25.8
Angela Dugalić,UCLA,283,11,113,71,14,8,16,12,258,23.454545454545453
Imani Lester,Rutgers,263,11,117,65,13,15,13,3,254,23.09090909090909
Amaya Battle,Minnesota,315,11,83,85,48,3,14,4,254,23.09090909090909
Kennedy Smith,USC,316,10,106,45,35,11,19,7,253,25.3
Zachara Perkins,Rutgers,358,11,120,60,14,10,12,11,249,22.636363636363637
Amiah Hargrove,Nebraska,234,11,134,71,11,2,12,5,249,22.636363636363637
Ehis Etute,Oregon,208,12,91,90,12,7,17,0,241,20.083333333333332
Moriah Murray,Penn State,316,10,109,36,26,2,15,30,235,23.5
Destiny Jackson,Illinois,328,11,85,49,55,1,20,4,235,21.363636363636363
Destiny Howell,Wisconsin,283,11,139,41,11,2,8,23,234,21.272727272727273
Callin Hake,Nebraska,282,11,95,29,56,1,17,18,234,21.272727272727273
Isimenme Ozzy-Momodu,Maryland,204,12,101,63,12,16,12,0,232,19.333333333333332
Sofia Bell,Oregon,350,13,99,34,16,9,21,23,232,17.846153846153847
Kaylah Ivey,Rutgers,388,11,104,33,37,1,17,21,231,21.0
Kylee Kitts,Ohio State,219,10,93,71,11,15,10,3,228,22.8
