,name,team,fantasy_points,past_points,daily_points
0,Kiyomi McMiller,Penn State,90,47.0,43.0
1,Shay Ciezki,Indiana,88,34.0,54.0
2,Gabriela Jaquez,UCLA,70,70.0,0.0
3,Gracie Merkle,Penn State,68,31.0,37.0
4,Zania Socka-Nguemen,Indiana,67,34.0,33.0
5,Hila Karsh,Purdue,63,63.0,0.0
6,Nene Ndiaye,Rutgers,61,61.0,0.0
7,Imani Lester,Rutgers,59,59.0,0.0
8,Kaylah Ivey,Rutgers,59,59.0,0.0
9,Gianna Kneepkens,UCLA,58,58.0,0.0
10,Oluchi Okananwa,Maryland,56,56.0,0.0
11,Makena Christian,Minnesota,56,33.0,23.0
12,Kiki Rice,UCLA,56,56.0,0.0
13,Lauren Betts,UCLA,55,55.0,0.0
14,Saylor Poffenbarger,Maryland,53,53.0,0.0
15,Zachara Perkins,Rutgers,53,53.0,0.0
16,Charlisse Leger-Walker,UCLA,52,52.0,0.0
17,Tori McKinney,Minnesota,49,21.0,28.0
18,Grace Grocholski,Minnesota,48,15.0,33.0
19,Mila Holloway,Michigan,48,48.0,0.0
20,Madison Layden-Zay,Purdue,47,47.0,0.0
21,Mara Braun,Minnesota,46,17.0,29.0
22,Kiki Smith,Purdue,44,44.0,0.0
23,Grace Sullivan,Northwestern,44,44.0,0.0
24,Berry Wallace,Illinois,43,43.0,0.0
25,Tara Daye,Purdue,42,42.0,0.0
26,Moriah Murray,Penn State,41,6.0,35.0
27,Sayvia Sellers,Washington,41,41.0,0.0
28,Amaya Battle,Minnesota,41,19.0,22.0
29,Yarden Garzon,Maryland,40,40.0,0.0
30,Sophie Hart,Minnesota,40,25.0,15.0
31,Kennedy Blair,Michigan State,39,39.0,0.0
32,Ava Heiden,Iowa,39,39.0,0.0
33,Angela Dugalić,UCLA,39,39.0,0.0
34,Lenée Beaumont,Indiana,38,20.0,18.0
35,Tayla Thomas,Northwestern,37,37.0,0.0
36,Kyndal Walker,Maryland,37,37.0,0.0
37,Grace VanSlooten,Michigan State,36,36.0,0.0
38,Lana McCarthy,Purdue,35,35.0,0.0
39,Marya Boiko,Maryland,35,35.0,0.0
40,Viktoria Ranisavljevic,Penn State,35,23.0,12.0
41,Lea Bartelme,Maryland,34,34.0,0.0
42,Theryn Hallock,Michigan State,34,34.0,0.0
43,Destiny Howell,Wisconsin,33,33.0,0.0
44,Hannah Stuelke,Iowa,33,33.0,0.0
45,Amiya Evans,Penn State,33,18.0,15.0
46,Nevaeh Caffey,Indiana,33,20.0,13.0
47,Brylee Glenn,Minnesota,33,13.0,20.0
