,name,team,fantasy_points,past_points,daily_points
48,Olivia Olson,Michigan,32,32.0,0.0
49,Isimenme Ozzy-Momodu,Maryland,32,32.0,0.0
50,Claire Johnson,Nebraska,31,31.0,0.0
51,Xamiya Walton,Northwestern,31,31.0,0.0
52,Mia Jacobs,Oregon,30,30.0,0.0
53,Gretchen Dolan,Illinois,30,30.0,0.0
54,Brooke Q. Daniels,Michigan,30,30.0,0.0
55,Janae Walker,Rutgers,30,30.0,0.0
56,Te'Yala Delfosse,Michigan,29,29.0,0.0
57,Tea Cleante,Penn State,29,0.0,29.0
58,Britt Prince,Nebraska,28,28.0,0.0
59,Rashunda Jones,Michigan State,27,27.0,0.0
60,Jazzy Davidson,USC,27,27.0,0.0
61,Kara Dunn,USC,27,27.0,0.0
62,Elisa Mevius,Oregon,27,27.0,0.0
63,Finau Tonga,Minnesota,27,22.0,5.0
64,Vitoria Santana,Penn State,27,19.0,8.0
65,Jalyn Brown,Michigan State,26,26.0,0.0
66,Dorja Iva Zaja,Wisconsin,26,26.0,0.0
67,Londynn Jones,USC,26,26.0,0.0
68,Kyrah Daniels,Wisconsin,26,26.0,0.0
69,Katie Fiso,Oregon,26,26.0,0.0
70,Avery Howell,Washington,26,26.0,0.0
71,Emily Fisher,Nebraska,26,26.0,0.0
72,Emma Shumate,Michigan State,26,26.0,0.0
73,Amy Terrian,Michigan State,25,25.0,0.0
74,Kennedy Smith,USC,24,24.0,0.0
75,Emely Rodriguez,Iowa,24,24.0,0.0
76,Callin Hake,Nebraska,24,24.0,0.0
77,Jessica Petrie,Nebraska,23,23.0,0.0
78,Ari Long,Oregon,23,23.0,0.0
79,Isaline Alexander,Michigan State,22,22.0,0.0
80,Casey Harter,Northwestern,22,22.0,0.0
81,Ashley Sofilkanich,Michigan,22,22.0,0.0
82,Kennedy Klick,Minnesota,22,13.0,9.0
83,Hannah Stines,Washington,22,22.0,0.0
84,Avery Gordon,Purdue,21,21.0,0.0
85,Chazadi Wright,Iowa,21,21.0,0.0
86,Maddie Webber,Illinois,21,21.0,0.0
87,Kendall Puryear,Purdue,21,21.0,0.0
88,Sienna Harvey,Washington,21,21.0,0.0
89,Destiny Jackson,Illinois,20,20.0,0.0
90,Sarah Rambus,Oregon,20,20.0,0.0
91,Amina Muhammad,Oregon,20,20.0,0.0
92,Dayana Mendes,USC,20,20.0,0.0
93,Ehis Etute,Oregon,20,20.0,0.0
94,Lauryn Swann,Rutgers,20,20.0,0.0
95,Laci Steele,Wisconsin,19,19.0,0.0
96,Sofia Bell,Oregon,19,19.0,0.0
97,Taylor Stremlow,Iowa,19,19.0,0.0
98,Syla Swords,Michigan,18,18.0,0.0
99,Addi Mack,Maryland,18,18.0,0.0
100,Shay Bollin,Wisconsin,18,18.0,0.0
101,Niamya Holloway,Minnesota,18,10.0,8.0
102,Edessa Noyan,Indiana,17,15.0,2.0
103,Valentyna Kadlecova,Indiana,17,11.0,6.0
104,Breanna Williams,Maryland,17,17.0,0.0
105,Olivia Anderson,Washington,17,17.0,0.0
106,Gift Uchenna,Wisconsin,17,17.0,0.0
107,Malia Samuels,USC,16,16.0,0.0
108,Antonia Bates,Rutgers,16,16.0,0.0
109,Taylor McCabe,Iowa,16,16.0,0.0
110,Taylor Feldman,Purdue,15,15.0,0.0
111,Logan Nissley,Nebraska,15,15.0,0.0
112,Yulia Grabovskaia,Washington,15,15.0,0.0
113,Gerda Raulusaityte,USC,15,15.0,0.0
114,Mir McLean,Maryland,15,15.0,0.0
115,Saige Stahl,Purdue,15,15.0,0.0
116,Petra Bozan,Nebraska,15,15.0,0.0
117,Hailey Weaver,Nebraska,15,15.0,0.0
118,Abbey Kimball,Michigan State,14,14.0,0.0
119,Ava McKennie,Maryland,14,14.0,0.0
120,Jasmine Brown-Hagger,Illinois,14,14.0,0.0
121,Rainey Welson,Maryland,14,14.0,0.0
122,Amanda Muse,UCLA,14,14.0,0.0
123,Shayla Smith,Penn State,14,14.0,0.0
124,Cearah Parchment,Illinois,13,13.0,0.0
125,Kylie Feuerbach,Iowa,13,13.0,0.0
126,Lety Vasconcelos,Illinois,13,13.0,0.0
127,Janiyah Williams,Oregon,13,13.0,0.0
128,Lena Bilic,UCLA,13,13.0,0.0
129,Tate Lash,Northwestern,13,13.0,0.0
130,Marah Dykstra,Michigan State,12,12.0,0.0
131,Nya Smith,Purdue,12,12.0,0.0
132,Amiah Hargrove,Nebraska,12,12.0,0.0
133,Lily Krahn,Wisconsin,11,11.0,0.0
134,Teagan Brown,Washington,11,11.0,0.0
135,Sara Barhoum,Oregon,11,11.0,0.0
136,Chloe Briggs,Washington,11,11.0,0.0
137,Astera Tuhina,Oregon,11,11.0,0.0
138,Brynn McGaughy,Washington,11,11.0,0.0
139,Ronnie Porter,Wisconsin,11,11.0,0.0
140,Phoenix Stotijn,Indiana,11,8.0,3.0
141,Maya Makalusky,Indiana,11,4.0,7.0
142,Vivian Iwuchukwu,USC,11,11.0,0.0
143,Journey Houston,Iowa,11,11.0,0.0
144,Caroline Lau,Northwestern,10,10.0,0.0
145,Shaelyn Steele,Penn State,10,5.0,5.0
146,Shayla Gillmer,Washington,9,9.0,0.0
147,Laura Williams,USC,9,9.0,0.0
148,Jessica Fields,Michigan,8,8.0,0.0
149,Ally VanTimmeren,Michigan,8,8.0,0.0
150,McKenzie Mathurin,Michigan,8,8.0,0.0
151,Yacine N'Diaye,Rutgers,8,8.0,0.0
152,Nina Cain,Washington,8,8.0,0.0
153,Addison Deal,Iowa,8,8.0,0.0
154,Irene Noya Catoira,Illinois,8,8.0,0.0
155,Alyssa Crockett,Michigan,8,8.0,0.0
156,Yakiya Milton,USC,8,8.0,0.0
157,Taylor Woodson,Minnesota,8,6.0,2.0
158,Makylah Moore,Rutgers,8,8.0,0.0
159,Filippa Tilliander,Oregon,7,7.0,0.0
160,Tracey Bershers,Minnesota,7,3.0,4.0
161,Rachael Okokoh,Penn State,7,7.0,0.0
162,Kennadi Williams,Nebraska,6,6.0,0.0
163,Nikki Kerstein,Wisconsin,6,6.0,0.0
164,Avary Cain,Oregon,6,6.0,0.0
165,Ciara Byars,Michigan,6,6.0,0.0
166,Nyla McFadden,Penn State,6,6.0,0.0
167,Anna Terrian,Michigan State,6,6.0,0.0
168,Devin Coppinger,Washington,6,6.0,0.0
169,Jerni Kiaku,Indiana,5,5.0,0.0
170,Layla Hays,Iowa,5,5.0,0.0
171,Jovana Spasovski,Wisconsin,5,5.0,0.0
172,Hayven Smith,Illinois,5,5.0,0.0
173,Rian Forestier,USC,5,5.0,0.0
174,Brynn Senden,Minnesota,4,0.0,4.0
175,Deja Young,Rutgers,4,4.0,0.0
176,Faith Wiseman,Indiana,4,4.0,0.0
177,Claire Keswick,Northwestern,3,3.0,0.0
178,Angelina Hodgens,Northwestern,3,3.0,0.0
179,Brooklyn Shamblin,USC,3,3.0,0.0
180,Kennedy Brandt,Rutgers,3,3.0,0.0
181,Precious Wheeler,Rutgers,3,3.0,0.0
182,Chloe Spreen,Indiana,3,3.0,0.0
183,Breauna Ware,Wisconsin,3,3.0,0.0
184,Macy Brown,Michigan,2,2.0,0.0
185,Megan Grant,UCLA,2,2.0,0.0
186,Christina Karamouzi Siegel,UCLA,2,2.0,0.0
187,McKenna Layden,Purdue,2,2.0,0.0
188,Alba Martín Mesa,Wisconsin,1,1.0,0.0
189,Gisela Segura,Illinois,1,1.0,0.0
190,DaiJa Turner,Northwestern,0,0.0,0.0
191,Alanna Neale,Nebraska,0,0.0,0.0
192,Nicole Fritea,Maryland,0,0.0,0.0
