name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Grace Sullivan,Northwestern,243,7,158,68,9,8,8,0,267,38.142857142857146
Jazzy Davidson,USC,218,7,114,47,28,16,14,10,259,37.0
Shay Ciezki,Indiana,236,7,156,33,20,2,11,19,254,36.285714285714285
Saylor Poffenbarger,Maryland,236,9,89,53,27,5,25,19,248,27.555555555555557
Nene Ndiaye,Rutgers,263,8,140,51,14,3,14,9,248,31.0
Kiki Rice,UCLA,241,8,118,55,27,8,9,7,241,30.125
Kiyomi McMiller,Penn State,199,6,118,40,36,2,18,5,239,39.833333333333336
Kyrah Daniels,Wisconsin,256,9,119,45,23,3,11,19,234,26.0
Britt Prince,Nebraska,206,7,154,26,26,1,7,10,232,33.142857142857146
Gracie Merkle,Penn State,158,6,143,54,15,9,1,0,232,38.666666666666664
Sayvia Sellers,Washington,191,7,124,19,28,8,13,12,225,32.142857142857146
Oluchi Okananwa,Maryland,224,9,120,43,22,4,12,7,224,24.88888888888889
Grace VanSlooten,Michigan State,161,7,111,40,14,7,20,0,219,31.285714285714285
Mia Jacobs,Oregon,200,8,113,38,13,2,17,15,217,27.125
Katie Fiso,Oregon,215,8,109,17,63,3,11,0,217,27.125
Gabriela Jaquez,UCLA,251,8,111,55,20,1,7,12,214,26.75
Lauren Betts,UCLA,208,7,99,52,25,14,4,0,212,30.285714285714285
Olivia Olson,Michigan,174,7,117,36,13,2,15,11,211,30.142857142857142
Mila Holloway,Michigan,192,7,92,26,36,3,20,8,208,29.714285714285715
Jaloni Cambridge,Ohio State,186,6,125,35,17,1,12,4,207,34.5
Gianna Kneepkens,UCLA,228,8,106,32,30,3,7,18,206,25.75
Yarden Garzon,Maryland,243,9,96,33,27,1,14,20,206,22.88888888888889
Kennedy Blair,Michigan State,154,7,79,42,44,2,17,1,204,29.142857142857142
Ava Heiden,Iowa,163,7,110,63,7,5,7,0,204,29.142857142857142
Charlisse Leger-Walker,UCLA,230,8,88,29,44,3,12,12,203,25.375
Zachara Perkins,Rutgers,263,8,99,46,10,8,10,11,202,25.25
Imani Lester,Rutgers,198,8,89,53,11,12,10,3,200,25.0
Tayla Thomas,Northwestern,196,7,72,78,8,12,5,2,194,27.714285714285715
Berry Wallace,Illinois,209,6,121,43,12,1,3,9,193,32.166666666666664
Syla Swords,Michigan,199,7,93,42,18,1,10,16,191,27.285714285714285
Destiny Howell,Wisconsin,231,9,112,34,9,2,6,19,190,21.11111111111111
Angela Dugalić,UCLA,216,8,86,53,7,6,10,10,188,23.5
Rashunda Jones,Michigan State,169,7,78,17,36,1,25,4,187,26.714285714285715
Hannah Stuelke,Iowa,194,7,87,59,14,1,11,2,186,26.571428571428573
Kennedy Smith,USC,215,7,73,32,27,8,14,6,182,26.0
Lenée Beaumont,Indiana,225,7,102,38,22,0,3,12,180,25.714285714285715
Grace Grocholski,Minnesota,202,7,88,37,20,3,6,16,179,25.571428571428573
Zania Socka-Nguemen,Indiana,190,7,91,63,9,3,5,0,179,25.571428571428573
Avery Howell,Washington,195,7,80,49,11,2,8,13,173,24.714285714285715
Addi Mack,Maryland,194,8,98,23,21,1,11,6,172,21.5
Kara Dunn,USC,196,7,83,37,8,4,11,11,169,24.142857142857142
Jessica Petrie,Nebraska,159,7,83,34,13,8,7,8,168,24.0
Kaylah Ivey,Rutgers,288,8,75,25,28,1,11,14,166,20.75
Te'Yala Delfosse,Michigan,136,7,83,43,9,5,5,8,163,23.285714285714285
Mara Braun,Minnesota,204,7,73,26,19,5,11,11,161,23.0
Gift Uchenna,Wisconsin,134,9,55,56,4,12,11,0,161,17.88888888888889
Sofia Bell,Oregon,198,8,62,21,10,8,17,16,159,19.875
Theryn Hallock,Michigan State,152,7,76,11,22,2,17,10,157,22.428571428571427
Amaya Battle,Minnesota,197,7,42,58,29,2,10,3,156,22.285714285714285
Caroline Lau,Northwestern,221,7,42,36,61,0,5,7,156,22.285714285714285
Ronnie Porter,Wisconsin,226,9,52,32,38,0,14,4,154,17.11111111111111
Gretchen Dolan,Illinois,194,6,85,22,22,1,9,2,151,25.166666666666668
Jalyn Brown,Michigan State,146,7,76,28,16,2,11,3,149,21.285714285714285
Callin Hake,Nebraska,179,7,62,18,31,1,12,11,148,21.142857142857142
Isimenme Ozzy-Momodu,Maryland,132,9,73,39,5,11,4,0,147,16.333333333333332
Amiah Hargrove,Nebraska,161,7,73,48,8,1,7,1,146,20.857142857142858
Casey Harter,Northwestern,237,7,70,25,11,10,5,9,145,20.714285714285715
Kennedy Cambridge,Ohio State,154,6,40,27,19,3,23,5,143,23.833333333333332
Moriah Murray,Penn State,175,6,66,19,17,2,8,19,141,23.5
Chance Gray,Ohio State,172,6,90,17,18,0,1,14,141,23.5
Ehis Etute,Oregon,127,8,53,52,7,4,10,0,140,17.5
Taylor McCabe,Iowa,183,7,61,34,16,2,3,19,140,20.0
Madison Layden-Zay,Purdue,193,6,61,26,15,4,6,15,137,22.833333333333332
Brooke Q. Daniels,Michigan,145,7,38,33,30,2,15,0,135,19.285714285714285
Sophie Hart,Minnesota,160,7,74,42,4,3,4,0,134,19.142857142857142
Brylee Glenn,Minnesota,176,7,71,21,19,1,9,3,134,19.142857142857142
Ari Long,Oregon,161,8,43,26,14,6,15,6,131,16.375
Kaylene Smikle,Maryland,104,6,82,23,11,1,4,5,131,21.833333333333332
Kylee Kitts,Ohio State,148,6,48,44,4,10,6,2,130,21.666666666666668
Taylor Stremlow,Iowa,125,7,48,22,21,4,12,7,130,18.571428571428573
Londynn Jones,USC,159,7,77,13,18,1,4,12,130,18.571428571428573
Tara Daye,Purdue,138,6,63,43,9,0,6,2,129,21.5
Amina Muhammad,Oregon,138,8,57,34,8,3,11,0,127,15.875
Breauna Ware,Wisconsin,188,9,62,19,16,2,9,7,126,14.0
Kiki Smith,Purdue,153,6,65,16,11,3,8,11,125,20.833333333333332
Cearah Parchment,Illinois,147,6,56,43,6,1,5,7,124,20.666666666666668
Hannah Stines,Washington,155,7,46,34,17,4,9,1,124,17.714285714285715
Brynn McGaughy,Washington,119,7,66,27,4,10,2,1,122,17.428571428571427
Laci Steele,Wisconsin,170,9,51,29,7,2,13,5,122,13.555555555555555
Tate Lash,Northwestern,175,7,60,24,25,1,3,4,121,17.285714285714285
Chazadi Wright,Iowa,129,5,63,8,24,0,7,12,121,24.2
Antonia Bates,Rutgers,212,8,26,43,19,4,9,4,118,14.75
Tori McKinney,Minnesota,106,5,66,11,7,2,12,5,117,23.4
Sarah Rambus,Oregon,131,8,66,29,8,2,5,0,117,14.625
Tea Cleante,Penn State,151,5,59,12,11,0,12,10,116,23.2
Dorja Zaja,Wisconsin,122,9,39,28,6,19,2,0,115,12.777777777777779
Isaline Alexander,Michigan State,99,7,62,24,1,7,7,0,115,16.428571428571427
Lana McCarthy,Purdue,114,6,53,35,11,4,3,0,113,18.833333333333332
Marah Dykstra,Michigan State,145,7,48,16,11,6,8,10,113,16.142857142857142
Astera Tuhina,Oregon,143,8,45,13,24,2,11,4,112,14.0
Destiny Jackson,Illinois,174,6,47,20,23,1,8,4,112,18.666666666666668
Ashley Sofilkanich,Michigan,106,7,56,22,4,6,8,0,110,15.714285714285714
Emma Shumate,Michigan State,116,7,53,18,8,2,5,16,109,15.571428571428571
Hila Karsh,Purdue,193,6,60,22,12,1,2,9,109,18.166666666666668
Layla Hays,Iowa,106,7,61,30,7,3,2,0,108,15.428571428571429
Nevaeh Caffey,Indiana,198,7,45,20,19,2,8,4,108,15.428571428571429
Hailey Weaver,Nebraska,135,7,34,23,9,7,9,5,103,14.714285714285714
Makena Christian,Minnesota,106,7,57,10,6,0,7,13,100,14.285714285714286
Petra Bozan,Nebraska,112,7,52,27,3,1,6,4,100,14.285714285714286
Lily Krahn,Wisconsin,119,9,60,6,3,1,6,16,99,11.0
Kyndal Walker,Maryland,136,8,40,17,11,1,13,1,97,12.125
Viktoria Ranisavljevic,Penn State,137,6,45,18,13,0,7,7,97,16.166666666666668
Xamiya Walton,Northwestern,167,7,54,10,11,1,3,12,95,13.571428571428571
Maddie Webber,Illinois,132,6,58,12,6,2,2,10,94,15.666666666666666
Shay Bollin,Wisconsin,133,9,46,22,8,2,3,8,94,10.444444444444445
Eliza Maupin,Nebraska,96,5,49,20,9,3,4,1,93,18.6
Kylie Feuerbach,Iowa,148,7,29,12,20,3,11,3,92,13.142857142857142
Juliann Woodard,Michigan State,72,6,39,21,8,4,2,9,89,14.833333333333334
Sienna Harvey,Washington,116,7,51,21,8,0,3,3,89,12.714285714285714
Claire Johnson,Nebraska,111,7,52,13,9,1,3,6,88,12.571428571428571
Janae Walker,Rutgers,148,8,38,30,6,4,2,0,86,10.75
Marya Boiko,Maryland,120,9,39,26,7,2,5,0,86,9.555555555555555
Teagan Brown,Washington,170,7,29,21,6,1,13,1,85,12.142857142857142
Yulia Grabovskaia,Washington,84,7,28,34,11,1,5,0,85,12.142857142857142
Addison Deal,Iowa,117,7,45,10,18,1,1,7,84,12.0
Bryn Martin,Ohio State,91,6,39,10,8,1,8,9,84,14.0
T'yana Todd,Ohio State,109,6,46,14,7,0,5,6,83,13.833333333333334
Taylor Feldman,Purdue,103,6,39,15,14,2,2,7,83,13.833333333333334
Devin Coppinger,Washington,153,7,35,27,3,0,7,3,82,11.714285714285714
Mir McLean,Maryland,97,8,26,29,4,1,10,0,81,10.125
Janiyah Williams,Oregon,87,8,47,10,3,0,6,7,79,9.875
Abbey Kimball,Michigan State,69,7,33,13,8,3,5,9,79,11.285714285714286
Ava Watson,Ohio State,104,6,34,12,11,1,8,3,78,13.0
McKenzie Mathurin,Michigan,101,7,43,8,5,1,6,6,76,10.857142857142858
Emely Rodriguez,Iowa,86,6,43,12,10,1,4,1,76,12.666666666666666
Malia Samuels,USC,152,6,23,16,11,2,9,3,75,12.5
Dayana Mendes,USC,106,7,27,21,9,2,4,4,73,10.428571428571429
Jasmine Brown-Hagger,Illinois,144,6,35,9,7,0,10,2,73,12.166666666666666
Vivian Iwuchukwu,USC,94,7,39,17,6,1,4,0,72,10.285714285714286
Amiya Evans,Penn State,90,6,17,33,3,7,2,0,71,11.833333333333334
Shaelyn Steele,Penn State,79,6,21,18,11,0,10,1,71,11.833333333333334
