name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,679,22,488,122,97,7,48,28,845,38.40909090909091
Jazzy Davidson,USC,715,21,341,131,87,50,38,37,772,36.76190476190476
Shay Ciezki,Indiana,786,22,509,68,58,4,32,57,764,34.72727272727273
Kiyomi McMiller,Penn State,693,22,417,107,95,4,35,23,720,32.72727272727273
Lauren Betts,UCLA,549,20,329,166,59,45,23,0,690,34.5
Sayvia Sellers,Washington,631,21,404,55,75,17,33,52,686,32.666666666666664
Grace Sullivan,Northwestern,671,20,435,133,25,17,25,0,677,33.85
Kiki Rice,UCLA,637,21,314,139,98,13,36,19,668,31.80952380952381
Olivia Olson,Michigan,613,21,388,118,47,7,39,21,666,31.714285714285715
Britt Prince,Nebraska,665,21,386,78,91,7,32,30,663,31.571428571428573
Berry Wallace,Illinois,734,21,406,144,38,9,13,30,662,31.523809523809526
Kennedy Blair,Michigan State,590,21,281,147,115,10,46,7,662,31.523809523809526
Katie Fiso,Oregon,720,23,351,70,159,6,31,7,661,28.73913043478261
Oluchi Okananwa,Maryland,595,22,365,123,41,5,45,19,648,29.454545454545453
Gracie Merkle,Penn State,513,20,386,156,26,24,6,0,628,31.4
Ava Heiden,Iowa,520,21,340,162,33,23,23,0,627,29.857142857142858
Mia Jacobs,Oregon,629,23,323,127,42,9,33,49,625,27.17391304347826
Kara Dunn,USC,677,21,332,114,45,7,34,47,620,29.523809523809526
Grace VanSlooten,Michigan State,548,21,320,133,39,19,42,1,615,29.285714285714285
Hannah Stuelke,Iowa,605,21,296,180,58,8,27,2,606,28.857142857142858
Avery Howell,Washington,677,21,276,171,30,8,31,51,606,28.857142857142858
Kennedy Cambridge,Ohio State,597,22,186,93,76,17,87,14,577,26.227272727272727
Cearah Parchment,Illinois,556,21,265,168,23,11,35,18,566,26.952380952380953
Yarden Garzon,Maryland,689,22,294,91,66,6,19,63,564,25.636363636363637
Gabriela Jaquez,UCLA,628,21,311,121,43,3,21,33,556,26.476190476190474
Kyrah Daniels,Wisconsin,651,22,281,106,51,6,30,44,554,25.181818181818183
Mila Holloway,Michigan,583,21,267,84,97,5,32,28,550,26.19047619047619
Rashunda Jones,Michigan State,602,21,264,76,77,2,54,15,544,25.904761904761905
