name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,1067,33,751,186,152,11,63,44,1281,38.81818181818182
Jazzy Davidson,USC,1028,30,527,171,125,60,60,51,1114,37.13333333333333
Shay Ciezki,Indiana,1100,31,708,119,95,5,48,79,1107,35.70967741935484
Kiyomi McMiller,Penn State,961,29,627,144,130,8,53,41,1064,36.689655172413794
Olivia Olson,Michigan,961,31,594,192,80,14,57,35,1043,33.645161290322584
Lauren Betts,UCLA,811,30,497,264,95,58,30,0,1032,34.4
Sayvia Sellers,Washington,981,31,572,85,115,24,48,71,987,31.838709677419356
Kennedy Blair,Michigan State,894,30,432,212,162,11,70,11,979,32.63333333333333
Ava Heiden,Iowa,784,31,542,229,51,39,37,0,974,31.419354838709676
Oluchi Okananwa,Maryland,844,31,558,169,66,7,71,24,973,31.387096774193548
Katie Fiso,Oregon,1086,34,520,119,215,7,46,10,970,28.529411764705884
Berry Wallace,Illinois,1133,32,590,197,59,12,20,48,958,29.9375
Kiki Rice,UCLA,948,31,475,191,137,13,45,31,950,30.64516129032258
Britt Prince,Nebraska,972,30,523,124,135,12,45,38,934,31.133333333333333
Cearah Parchment,Illinois,908,32,430,272,47,14,56,33,922,28.8125
Avery Howell,Washington,1055,31,424,256,43,13,43,75,910,29.35483870967742
Grace Sullivan,Northwestern,945,28,599,172,30,23,30,0,907,32.392857142857146
Ehis Etute,Oregon,778,33,415,294,49,28,44,1,903,27.363636363636363
Grace VanSlooten,Michigan State,846,30,451,199,69,31,57,1,896,29.866666666666667
Kennedy Cambridge,Ohio State,955,33,297,154,110,22,128,28,889,26.939393939393938
Kara Dunn,USC,958,30,458,155,62,11,38,66,839,27.966666666666665
Hannah Stuelke,Iowa,864,29,401,251,84,11,37,2,834,28.75862068965517
Syla Swords,Michigan,1009,30,434,127,75,6,48,74,818,27.266666666666666
Gracie Merkle,Penn State,695,26,500,213,35,28,6,0,816,31.384615384615383
Elsa Lemmilä,Ohio State,838,32,297,234,69,71,32,2,808,25.25
Chance Gray,Ohio State,1056,33,493,85,89,0,26,82,801,24.272727272727273
Mia Jacobs,Oregon,859,32,403,171,55,14,42,59,800,25.0
Mila Holloway,Michigan,888,31,383,118,145,7,49,39,797,25.70967741935484
Yarden Garzon,Maryland,998,31,394,123,95,11,33,87,787,25.387096774193548
Saylor Poffenbarger,Maryland,863,29,283,202,95,18,55,44,770,26.551724137931036
Lenée Beaumont,Indiana,1108,32,427,153,95,1,22,47,768,24.0
Caroline Lau,Northwestern,987,29,256,159,245,5,28,41,767,26.448275862068964
Gabriela Jaquez,UCLA,933,31,424,167,59,4,33,42,766,24.70967741935484
Grace Grocholski,Minnesota,1003,30,380,150,86,5,32,66,756,25.2
Amaya Battle,Minnesota,918,30,326,221,107,9,37,10,756,25.2
Gianna Kneepkens,UCLA,875,31,409,103,93,4,35,72,755,24.35483870967742
Kyrah Daniels,Wisconsin,907,30,377,148,74,9,36,59,748,24.933333333333334
Tara Daye,Purdue,858,30,371,196,73,9,37,15,747,24.9
Charlisse Leger-Walker,UCLA,866,31,274,129,174,9,50,41,736,23.741935483870968
Destiny Jackson,Illinois,997,32,317,128,167,6,49,10,732,22.875
