name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,739,24,544,133,105,7,50,30,926,38.583333333333336
Shay Ciezki,Indiana,901,25,602,97,72,4,38,68,923,36.92
Jazzy Davidson,USC,818,24,405,151,106,53,44,39,895,37.291666666666664
Kiyomi McMiller,Penn State,776,24,484,120,107,5,36,27,820,34.166666666666664
Kennedy Blair,Michigan State,696,24,329,170,129,10,52,7,759,31.625
Sayvia Sellers,Washington,704,23,447,57,80,21,37,55,755,32.82608695652174
Oluchi Okananwa,Maryland,672,25,429,136,51,6,52,22,754,30.16
Grace Sullivan,Northwestern,750,22,494,145,25,18,27,0,754,34.27272727272727
Olivia Olson,Michigan,685,23,432,134,56,9,43,26,752,32.69565217391305
Britt Prince,Nebraska,767,24,421,91,103,7,37,33,736,30.666666666666668
Berry Wallace,Illinois,843,24,457,159,43,9,13,33,736,30.666666666666668
Kiki Rice,UCLA,692,23,348,150,107,13,40,22,733,31.869565217391305
Lauren Betts,UCLA,584,22,356,173,64,45,23,0,729,33.13636363636363
Grace VanSlooten,Michigan State,658,24,371,162,49,24,48,1,727,30.291666666666668
Katie Fiso,Oregon,791,25,375,83,171,7,33,7,716,28.64
Kara Dunn,USC,769,24,382,129,53,8,34,52,700,29.166666666666668
Ava Heiden,Iowa,572,23,383,169,36,24,26,0,688,29.91304347826087
Mia Jacobs,Oregon,691,25,352,141,46,14,33,52,685,27.4
Gracie Merkle,Penn State,551,21,405,176,26,26,6,0,671,31.952380952380953
Cearah Parchment,Illinois,654,24,315,196,27,12,39,22,662,27.583333333333332
Hannah Stuelke,Iowa,667,23,323,197,63,9,28,2,659,28.652173913043477
Avery Howell,Washington,748,23,300,185,30,10,32,55,654,28.434782608695652
Kennedy Cambridge,Ohio State,661,24,207,103,80,19,96,16,636,26.5
Yarden Garzon,Maryland,797,25,324,100,76,6,26,69,633,25.32
Saylor Poffenbarger,Maryland,672,23,238,148,73,17,45,37,620,26.956521739130434
Lenée Beaumont,Indiana,859,25,341,119,80,1,18,37,615,24.6
Mila Holloway,Michigan,643,23,298,93,106,5,36,31,610,26.52173913043478
Grace Grocholski,Minnesota,789,24,316,117,65,4,22,57,607,25.291666666666668
Rashunda Jones,Michigan State,696,24,294,86,90,2,58,17,607,25.291666666666668
Tara Daye,Purdue,663,24,291,161,63,8,30,12,603,25.125
Syla Swords,Michigan,707,22,314,84,56,6,40,54,600,27.272727272727273
Amaya Battle,Minnesota,717,24,238,179,93,8,32,10,600,25.0
Caroline Lau,Northwestern,782,23,184,127,202,5,23,28,597,25.956521739130434
Gabriela Jaquez,UCLA,683,23,331,126,49,3,23,34,592,25.73913043478261
Ehis Etute,Oregon,505,24,262,198,31,16,30,1,584,24.333333333333332
Kyrah Daniels,Wisconsin,688,23,296,114,56,6,30,45,583,25.347826086956523
Gianna Kneepkens,UCLA,636,23,303,78,78,4,27,57,578,25.130434782608695
Mara Braun,Minnesota,773,24,271,100,56,18,34,37,568,23.666666666666668
Madison Layden-Zay,Purdue,831,24,241,88,79,12,42,51,567,23.625
Charlisse Leger-Walker,UCLA,630,23,207,99,134,6,40,32,564,24.52173913043478
Nene Ndiaye,Rutgers,671,21,309,110,35,5,33,26,556,26.476190476190474
Kennedy Smith,USC,664,21,227,100,82,24,39,19,554,26.38095238095238
Chance Gray,Ohio State,719,24,333,65,66,0,19,51,553,23.041666666666668
Elsa Lemmilä,Ohio State,567,23,202,146,44,55,24,1,551,23.956521739130434
Destiny Jackson,Illinois,742,24,220,95,121,4,40,6,530,22.083333333333332
Chazadi Wright,Iowa,641,20,260,54,93,2,33,49,526,26.3
Tayla Thomas,Northwestern,566,23,223,180,24,30,16,3,522,22.695652173913043
Destiny Howell,Wisconsin,619,22,321,71,22,7,18,52,516,23.454545454545453
Imani Lester,Rutgers,518,22,244,124,26,26,23,7,499,22.681818181818183
Isimenme Ozzy-Momodu,Maryland,481,25,209,173,20,27,20,0,496,19.84
Amiah Hargrove,Nebraska,537,23,290,132,15,4,15,20,495,21.52173913043478
Tori McKinney,Minnesota,535,20,268,64,48,10,35,23,493,24.65
Jessica Petrie,Nebraska,498,22,251,107,29,22,21,19,492,22.363636363636363
Moriah Murray,Penn State,783,24,238,79,55,2,25,65,491,20.458333333333332
Angela Dugalić,UCLA,536,23,227,120,41,12,28,21,489,21.26086956521739
Sophie Hart,Minnesota,539,24,243,143,21,14,15,0,465,19.375
Brooke Q. Daniels,Michigan,586,23,146,124,69,7,54,0,461,20.043478260869566
Sofia Bell,Oregon,735,25,188,64,38,17,45,45,459,18.36
Ari Long,Oregon,600,25,165,94,45,13,50,24,454,18.16
Callin Hake,Nebraska,648,24,191,59,93,4,32,37,452,18.833333333333332
Gift Uchenna,Wisconsin,399,23,171,155,16,33,20,1,449,19.52173913043478
Maddie Webber,Illinois,603,24,268,63,38,7,14,37,448,18.666666666666668
Ronnie Porter,Wisconsin,679,23,148,100,102,4,35,20,448,19.47826086956522
Kaylah Ivey,Rutgers,846,24,191,65,87,2,29,41,446,18.583333333333332
Te'Yala Delfosse,Michigan,459,23,234,114,23,13,17,14,445,19.347826086956523
Kiki Smith,Purdue,597,24,245,57,50,4,24,36,444,18.5
Jalyn Brown,Michigan State,581,24,261,64,38,9,21,19,442,18.416666666666668
Addi Mack,Maryland,611,23,244,72,57,3,22,14,437,19.0
Zachara Perkins,Rutgers,646,20,214,93,29,14,26,18,434,21.7
Tea Cleante,Penn State,695,23,212,38,67,4,39,31,434,18.869565217391305
Londynn Jones,USC,591,24,260,41,42,4,19,40,429,17.875
Gretchen Dolan,Illinois,527,18,232,62,50,7,21,15,415,23.055555555555557
Nevaeh Caffey,Indiana,777,25,194,88,63,3,25,13,414,16.56
Brynn McGaughy,Washington,462,23,202,111,27,29,7,2,414,18.0
Kylee Kitts,Ohio State,436,19,177,134,24,17,17,10,413,21.736842105263158
Ava Watson,Ohio State,560,24,171,53,55,5,49,24,411,17.125
Taylor Stremlow,Iowa,483,23,161,66,83,9,24,26,402,17.47826086956522
Casey Harter,Northwestern,708,20,211,65,45,12,11,33,400,20.0
Hannah Stines,Washington,614,23,154,97,58,11,25,13,394,17.130434782608695
Ashley Sofilkanich,Michigan,394,23,201,94,15,21,16,0,384,16.695652173913043
Brylee Glenn,Minnesota,571,24,173,72,52,5,33,10,383,15.958333333333334
Logan Nissley,Nebraska,469,22,186,50,53,3,13,46,367,16.681818181818183
Eliza Maupin,Nebraska,405,21,175,94,24,17,14,7,362,17.238095238095237
Emma Shumate,Michigan State,540,24,166,51,20,16,20,51,360,15.0
Taylor McCabe,Iowa,541,20,161,70,45,6,10,49,357,17.85
Hila Karsh,Purdue,655,24,180,46,59,1,17,29,350,14.583333333333334
Laci Steele,Wisconsin,507,23,152,77,24,7,23,24,337,14.652173913043478
Elle Ladine,Washington,451,17,162,83,33,9,9,23,337,19.823529411764707
Maya Makalusky,Indiana,613,25,194,66,7,1,12,42,335,13.4
Kendall Dudley,Michigan,392,22,136,94,26,8,28,1,329,14.954545454545455
Petra Bozan,Nebraska,352,24,169,88,11,12,15,5,327,13.625
Lana McCarthy,Purdue,364,22,154,98,19,13,15,0,327,14.863636363636363
Nya Smith,Purdue,494,24,155,70,36,3,19,20,325,13.541666666666666
Xamiya Walton,Northwestern,649,23,171,39,37,2,18,37,324,14.08695652173913
Faith Blackstone,Rutgers,396,16,158,71,17,11,21,14,324,20.25
Antonia Bates,Rutgers,638,24,52,126,50,16,25,4,314,13.083333333333334
Edessa Noyan,Indiana,523,25,124,129,15,10,10,5,313,12.52
Kyndal Walker,Maryland,516,24,143,56,55,2,26,1,311,12.958333333333334
Sarah Rambus,Oregon,381,25,171,71,20,10,14,0,310,12.4
Yulia Grabovskaia,Washington,329,23,113,117,33,9,11,0,303,13.173913043478262
Journey Houston,Iowa,338,23,126,116,27,1,14,3,302,13.130434782608695
Kendall Puryear,Purdue,380,24,165,72,10,8,10,0,283,11.791666666666666
Malia Samuels,USC,525,22,76,62,58,6,32,9,281,12.772727272727273
Kylie Feuerbach,Iowa,504,20,102,33,61,10,22,18,278,13.9
Zania Socka-Nguemen,Indiana,312,12,141,104,14,3,5,0,275,22.916666666666668
Jasmine Brown-Hagger,Illinois,548,24,129,45,37,2,22,11,270,11.25
Tate Lash,Northwestern,441,22,113,55,52,6,15,6,268,12.181818181818182
Breauna Ware,Wisconsin,408,21,135,43,27,2,18,14,259,12.333333333333334
Addison Deal,Iowa,374,23,140,30,38,5,10,17,255,11.08695652173913
Bryn Martin,Ohio State,360,24,108,40,26,7,21,18,248,10.333333333333334
Viktoria Ranisavljevic,Penn State,398,23,114,37,38,1,19,18,247,10.73913043478261
Amina Muhammad,Oregon,339,25,112,68,15,3,22,0,245,9.8
Marya Boiko,Maryland,349,25,93,63,27,15,14,0,241,9.64
Finau Tonga,Minnesota,305,24,120,80,20,4,6,0,240,10.0
Ines Sotelo,Michigan State,354,15,104,52,23,10,17,6,239,15.933333333333334
Shay Bollin,Wisconsin,365,23,110,52,27,6,10,17,238,10.347826086956522
Aaliyah Guyton,Illinois,364,20,114,41,41,0,13,11,233,11.65
Isaline Alexander,Michigan State,199,13,125,53,4,11,12,0,228,17.53846153846154
Dorja Zaja,Wisconsin,275,22,87,59,18,23,7,0,224,10.181818181818182
Laura Williams,USC,279,23,65,84,8,28,5,0,223,9.695652173913043
Juliann Woodard,Michigan State,222,22,95,58,14,7,10,21,222,10.090909090909092
Avary Cain,Oregon,370,25,107,31,20,5,13,26,220,8.8
Mir McLean,Maryland,286,24,78,77,13,4,22,0,220,9.166666666666666
Devin Coppinger,Washington,409,23,99,57,16,3,15,10,218,9.478260869565217
T'yana Todd,Ohio State,345,24,122,34,12,2,14,17,217,9.041666666666666
Hailey Weaver,Nebraska,320,24,66,52,26,10,22,9,217,9.041666666666666
Astera Tuhina,Oregon,323,23,93,22,46,2,17,14,213,9.26086956521739
Avery Gordon,Purdue,199,21,117,47,4,13,9,0,212,10.095238095238095
Lety Vasconcelos,Illinois,291,24,82,77,12,15,5,0,211,8.791666666666666
Shaelyn Steele,Penn State,301,22,49,66,31,1,30,2,210,9.545454545454545
Nyla McFadden,Penn State,284,23,89,56,20,2,16,8,209,9.08695652173913
Layla Hays,Iowa,245,23,103,59,12,8,7,0,204,8.869565217391305
Dayana Mendes,USC,330,24,65,71,21,8,9,9,200,8.333333333333334
Sienna Betts,UCLA,214,13,99,55,19,4,7,1,196,15.076923076923077
Lauryn Swann,Rutgers,233,11,93,30,16,2,18,16,195,17.727272727272727
Marah Dykstra,Michigan State,287,22,76,44,18,7,12,14,190,8.636363636363637
Breanna Williams,Maryland,202,19,96,60,9,2,6,4,185,9.736842105263158
Lily Krahn,Wisconsin,322,23,103,14,10,2,11,28,181,7.869565217391305
Makena Christian,Minnesota,283,24,97,28,13,0,10,22,180,7.5
Kennadi Williams,Nebraska,355,24,60,19,60,1,14,8,177,7.375
Janae Walker,Rutgers,398,24,60,82,11,8,3,0,175,7.291666666666667
Sienna Harvey,Washington,269,22,98,44,19,0,4,6,175,7.954545454545454
Claire Johnson,Nebraska,277,24,91,25,23,1,12,7,172,7.166666666666667
Theryn Hallock,Michigan State,169,8,85,13,22,2,18,11,171,21.375
Vivian Iwuchukwu,USC,261,24,76,60,8,1,10,0,166,6.916666666666667
Gerda Raulusaityte,USC,349,24,56,69,17,5,6,0,164,6.833333333333333
McKenna Layden,Purdue,337,22,51,42,25,1,13,16,162,7.363636363636363
Lena Bilic,UCLA,296,20,71,33,17,5,7,12,157,7.85
Amiya Evans,Penn State,236,18,33,73,9,10,8,0,151,8.38888888888889
Macy Brown,Michigan,257,21,51,31,26,3,13,9,149,7.095238095238095
Alyssa Crockett,Michigan,183,19,63,34,10,4,11,12,149,7.842105263157895
Kaylene Smikle,Maryland,123,7,92,27,11,1,5,7,149,21.285714285714285
Shayla Smith,Penn State,194,18,51,52,17,1,12,2,148,8.222222222222221
McKenzie Mathurin,Michigan,187,16,77,17,10,3,10,13,143,8.9375
Ella Hobbs,Ohio State,174,22,53,56,11,3,4,7,141,6.409090909090909
Jerni Kiaku,Indiana,272,21,63,37,24,0,7,3,141,6.714285714285714
Teagan Brown,Washington,309,21,40,39,9,2,20,1,133,6.333333333333333
Niamya Holloway,Minnesota,146,22,43,47,5,2,13,1,126,5.7272727272727275
Dasha Biriuk,Ohio State,138,16,63,24,8,3,7,11,126,7.875
Vitoria Santana,Penn State,263,23,51,25,17,1,9,12,125,5.434782608695652
Maggie Mendelson,Penn State,207,13,30,48,12,10,5,2,122,9.384615384615385
Saige Stahl,Purdue,206,18,27,61,8,1,11,0,120,6.666666666666667
DaiJa Turner,Northwestern,239,22,25,41,3,16,9,0,119,5.409090909090909
