name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Jaloni Cambridge,Ohio State,579,19,411,105,86,7,44,18,722,38.0
Kiyomi McMiller,Penn State,648,20,379,103,90,4,32,21,665,33.25
Jazzy Davidson,USC,602,18,288,119,69,44,34,32,664,36.888888888888886
Shay Ciezki,Indiana,680,19,440,61,56,3,26,44,659,34.68421052631579
Grace Sullivan,Northwestern,604,18,398,124,25,16,25,0,629,34.94444444444444
Gracie Merkle,Penn State,513,20,386,156,26,24,6,0,628,31.4
Lauren Betts,UCLA,501,18,290,152,52,43,20,0,620,34.44444444444444
Katie Fiso,Oregon,662,21,324,64,142,6,29,7,607,28.904761904761905
Kiki Rice,UCLA,572,19,289,123,85,13,31,18,603,31.736842105263158
Sayvia Sellers,Washington,556,19,355,51,63,14,31,44,603,31.736842105263158
Berry Wallace,Illinois,654,19,373,132,33,8,10,27,601,31.63157894736842
Oluchi Okananwa,Maryland,526,20,345,106,40,5,41,18,601,30.05
Britt Prince,Nebraska,603,19,338,68,81,7,30,28,589,31.0
Mia Jacobs,Oregon,581,21,303,117,39,8,32,46,585,27.857142857142858
Kennedy Blair,Michigan State,529,19,245,133,106,9,36,7,581,30.57894736842105
Olivia Olson,Michigan,518,18,321,100,38,6,30,20,551,30.61111111111111
Grace VanSlooten,Michigan State,491,19,287,116,33,17,36,1,543,28.57894736842105
Avery Howell,Washington,602,19,243,153,28,7,26,44,534,28.105263157894736
Ava Heiden,Iowa,432,18,289,138,30,20,18,0,533,29.61111111111111
Hannah Stuelke,Iowa,512,18,256,153,51,6,25,2,524,29.11111111111111
Kyrah Daniels,Wisconsin,594,20,263,95,47,6,30,42,519,25.95
Kennedy Cambridge,Ohio State,502,19,161,83,71,15,78,13,514,27.05263157894737
Yarden Garzon,Maryland,611,20,258,82,64,4,19,57,507,25.35
Gianna Kneepkens,UCLA,526,19,265,69,67,3,24,52,507,26.68421052631579
Rashunda Jones,Michigan State,535,19,243,68,73,2,51,13,503,26.473684210526315
Gabriela Jaquez,UCLA,568,19,281,110,40,2,17,33,502,26.42105263157895
Grace Grocholski,Minnesota,613,19,261,99,51,4,15,48,497,26.157894736842106
Caroline Lau,Northwestern,648,19,152,103,174,4,15,24,491,25.842105263157894
Cearah Parchment,Illinois,489,19,214,150,23,11,34,13,490,25.789473684210527
Charlisse Leger-Walker,UCLA,525,19,180,80,115,6,35,31,488,25.68421052631579
Nene Ndiaye,Rutgers,569,18,270,99,28,5,28,20,483,26.833333333333332
Kara Dunn,USC,563,18,258,86,36,4,28,38,482,26.77777777777778
Tara Daye,Purdue,505,19,241,131,41,4,25,11,482,25.36842105263158
Saylor Poffenbarger,Maryland,493,18,192,104,58,16,33,30,482,26.77777777777778
Syla Swords,Michigan,538,17,235,77,44,6,28,41,465,27.352941176470587
Tayla Thomas,Northwestern,497,19,192,162,20,29,13,2,460,24.210526315789473
Lenée Beaumont,Indiana,637,19,252,85,58,1,15,32,459,24.157894736842106
Mila Holloway,Michigan,491,18,222,69,79,4,30,20,458,25.444444444444443
Ehis Etute,Oregon,406,20,190,158,24,13,27,0,452,22.6
Mara Braun,Minnesota,601,19,206,83,45,13,30,27,447,23.526315789473685
Amaya Battle,Minnesota,567,19,171,134,72,6,27,4,447,23.526315789473685
Madison Layden-Zay,Purdue,641,19,187,73,57,10,34,40,445,23.42105263157895
Chance Gray,Ohio State,539,19,261,54,57,0,12,36,432,22.736842105263158
